;Additional Studies ID; Same Date&Time; Additional Weather Parameters; Delta Temperature (Δ°C); Relative Humidity Change (Δ%age points); Atmospheric Pressure Difference (difference in h Pa); Wind Specifics (direction*, gust speed), if available$; Precipitation Details ($type$, accumulation$'$), if any$; Sunlight Measures (duration + UV index)$, shade factors(%$), brightness(illuminance - lux)$^***$$)^^^^*^\$; Subsurface Moisture Layers (& depth, soils type(\*)), pore saturation(%)
0; 1; Same Date&Time; Additional Weather Parameters: Rain, Snow; Delta Temperature (Δ°C): -2.5; Relative Humidity Change (Δ%age points): 25; Atmospheric Pressure Difference (difference in h Pa): 3.2; Wind Specifics (direction*, gust speed), if available$: NW, 15mph$; Precipitation Details ($type$, accumulation$'$), if any$: Rain, 5mm; Snow, 2cm$; Sunlight Measures (duration + UV index)$, shade factors(%$), brightness(illuminance - lux)$^***$$)^^^^*^\$: 4hrs + UV 3, 25%  200lux$  Subsurface Moisture Layers (& depth, soils type(\*)), pore saturation(%): 10cm, Loamy  45%
1;2; Same Date&Time; Additional Weather Parameters: Dew point; Delta Temperature (Δ°C): 1.8; Relative Humidity Change (Δ%age points): 10; Atmospheric Pressure Difference (difference in h Pa): 1.5; Wind Specifics (direction*, gust speed), if available$: SE, 8mph$; Precipitation Details ($type$, accumulation$'$), if any$: None$; Sunlight Measures (duration + UV index)$, shade factors(%$), brightness(illuminance - lux)$^***$$)^^^^*^\$: 6hrs + UV 4, 40%; 500lux$  Subsurface Moisture Layers (& depth, soils type(\*)), pore saturation(%): 5cm, Sandy  30%
2;3; Same Date&Time; Additional Weather Parameters: Cloud coverage, Fog; Delta Temperature (Δ°C): -0.5; Relative Humidity Change (Δ%age points): 15; Atmospheric Pressure Difference (difference in h Pa): 0.8; Wind Specifics (direction*, gust speed), if available$: NE, 12mph$; Precipitation Details ($type$, accumulation$'$), if any$: None$; Sunlight Measures (duration + UV index)$, shade factors(%$), brightness(illuminance - lux)$^***$$)^^^^*^\$: 3hrs + UV 2, 60%; 300lux$  Subsurface Moisture Layers (& depth, soils type(\*)), pore saturation(%): 15cm, Clay  50%
3;4; Same Date&Time; Additional Weather Parameters: Wind chill; Delta Temperature (Δ°C): -3.2; Relative Humidity Change (Δ%age points): 20; Atmospheric Pressure Difference (difference in h Pa): 2.5; Wind Specifics (direction*, gust speed), if available$: SW, 20mph$; Precipitation Details ($type$, accumulation$'$), if any$: None$; Sunlight Measures (duration + UV index)$, shade factors(%$), brightness(illuminance - lux)$^***$$)^^^^*^\$: 5hrs + UV 5, 35%; 800lux$  Subsurface Moisture Layers (& depth, soils type(\*)), pore saturation(%): 20cm, Silty  40%
4;5; Same Date&Time; Additional Weather Parameters: Evaporation rate; Delta Temperature (Δ°C): 1.2; Relative Humidity Change (Δ%age points): 5; Atmospheric Pressure Difference (difference in h Pa): 0.9; Wind Specifics (direction*, gust speed), if available$: E, 7mph$; Precipitation Details ($type$, accumulation$'$), if any$: None$; Sunlight Measures (duration + UV index)$, shade factors(%$), brightness(illuminance - lux)$^***$$)^^^^*^\$: 7hrs + UV 6, 20%; 1000lux$  Subsurface Moisture Layers (& depth, soils type(\*)), pore saturation(%): 10cm, Loamy  35%
5;6; Same Date&Time; Additional Weather Parameters: Absolute humidity; Delta Temperature (Δ°C): -0.8; Relative Humidity Change (Δ%age points): 12; Atmospheric Pressure Difference (difference in h Pa): 0.6; Wind Specifics (direction*, gust speed), if available$: W, 10mph$; Precipitation Details ($type$, accumulation$'$), if any$: None$; Sunlight Measures (duration + UV index)$, shade factors(%$), brightness(illuminance - lux)$^***$$)^^^^*^\$: 4hrs + UV 3, 50%; 400lux$  Subsurface Moisture Layers (& depth, soils type(\*)), pore saturation(%): 5cm, Sandy  25%
6;7; Same Date&Time; Additional Weather Parameters: Heat index; Delta Temperature (Δ°C): 2.7; Relative Humidity Change (Δ%age points): 8; Atmospheric Pressure Difference (difference in h Pa): 2.0; Wind Specifics (direction*, gust speed), if available$: N, 15mph$; Precipitation Details ($type$, accumulation$'$), if any$: None$; Sunlight Measures (duration + UV index)$, shade factors(%$), brightness(illuminance - lux)$^***$$)^^^^*^\$: 6hrs + UV 4, 45%; 600lux$  Subsurface Moisture Layers (& depth, soils type(\*)), pore saturation(%): 15cm, Clay  55%
7;8; Same Date&Time; Additional Weather Parameters: Lightning activity; Delta Temperature (Δ°C): -1.5; Relative Humidity Change (Δ%age points): 22; Atmospheric Pressure Difference (difference in h Pa): 1.8; Wind Specifics (direction*, gust speed), if available$: SSW, 25mph$; Precipitation Details ($type$, accumulation$'$), if any$: None$; Sunlight Measures (duration + UV index)$, shade factors(%$), brightness(illuminance - lux)$^***$$)^^^^*^\$: 3hrs + UV 2, 70%; 200lux$  Subsurface Moisture Layers (& depth, soils type(\*)), pore saturation(%): 20cm, Silty  45%
8;9; Same Date&Time; Additional Weather Parameters: Frost point; Delta Temperature (Δ°C): -4.0; Relative Humidity Change (Δ%age points): 30; Atmospheric Pressure Difference (difference in h Pa): 3.0; Wind Specifics (direction*, gust speed), if available$: NW, 18mph$; Precipitation Details ($type$, accumulation$'$), if any$: None$; Sunlight Measures (duration + UV index)$, shade factors(%$), brightness(illuminance - lux)$^***$$)^^^^*^\$: 5hrs + UV 5, 30%; 900lux$  Subsurface Moisture Layers (& depth, soils type(\*)), pore saturation(%): 10cm, Loamy  40%
9;10; Same Date&Time; Additional Weather Parameters: Water vapor; Delta Temperature (Δ°C): 1.0; Relative Humidity Change (Δ%age points): 10; Atmospheric Pressure Difference (difference in h Pa): 1.2; Wind Specifics (direction*, gust speed), if available$: ESE, 10mph$; Precipitation Details ($type$, accumulation$'$), if any$: None$; Sunlight Measures (duration + UV index)$, shade factors(%$), brightness(illuminance - lux)$^***$$)^^^^*^\$: 7hrs + UV 6, 25%; 1100lux$  Subsurface Moisture Layers (& depth, soils type(\*)), pore saturation(%): 5cm, Sandy  30%</s>
