;DishPresentationScore(outof10);TasteTestingPanelApprovalRate(%);ChefCertifications(#);RecommendedWinePairing;\
0;" ""DishPresentationScore(outof10)";TasteTestingPanelApprovalRate(%);ChefCertifications(#);"RecommendedWinePairing""";
1;"""8";95;3;"Full-bodied Cabernet Sauvignon""";
2;"""9";88;2;"Buttery Chardonnay""";
3;"""7";92;5;"Oaky Merlot""";
4;"""10";97;6;"Sparkling Brut Rosé""";
5;"""6";82;1;"Crisp Sauvignon Blanc""";
6;"""5";86;4;"Fruity Zinfandel""";
7;"""9";93;2;"Rich Pinot Noir""";
8;"""7";78;3;"Dry Riesling""";
9;"""6";90;5;"Smooth Syrah""";
10;"""8";96;4;"Full-bodied Shiraz""</s>";
