;Time Period; Global Events ; Trade Agreements; Economic Aid$; Peacekeeping Missions; Embassies Abroad; Treaty Obligations; Regional Organizations Participation; Conflict History; International Law Compliance; Cultural Diplomacy; Technology Exchange; Space Cooperation
0;Time Period: 1945-1950; Global Events: End of WWII, Founding of UN; Trade Agreements: GATT; Economic Aid$: Marshall Plan; Peacekeeping Missions: None; Embassies Abroad: Establishment of embassies in new countries; Treaty Obligations: Bretton Woods agreement; Regional Organizations Participation: NATO, Warsaw Pact; Conflict History: Start of Cold War; International Law Compliance: Nuremberg trials; Cultural Diplomacy: US-sponsored cultural exchanges; Technology Exchange: Atoms for Peace program; Space Cooperation: None.
1;Time Period: 1950-1960; Global Events: Korean War, Decolonization; Trade Agreements: EEC; Economic Aid$: Point Four Program; Peacekeeping Missions: None; Embassies Abroad: Continued expansion; Treaty Obligations: NATO, Warsaw Pact; Regional Organizations Participation: Expansion of NATO, Bandung Conference; Conflict History: Vietnam War, Congo Crisis; International Law Compliance: Human rights treaties; Cultural Diplomacy: US-Soviet cultural exchange; Technology Exchange: Space Race; Space Cooperation: International Geophysical Year.
2;Time Period: 1960-1970; Global Events: Cuban Missile Crisis, Vietnam War; Trade Agreements: Kennedy Round; Economic Aid$: Alliance for Progress; Peacekeeping Missions: Congo Crisis, Cyprus; Embassies Abroad: Continued expansion; Treaty Obligations: NPT, Outer Space Treaty; Regional Organizations Participation: ASEAN, OAU; Conflict History: Six-Day War, Nigerian Civil War; International Law Compliance: Environmental treaties; Cultural Diplomacy: Ping-pong diplomacy; Technology Exchange: Apollo-Soyuz Test Project; Space Cooperation: Intelsat, ATS-6.
3;Time Period: 1970-1980; Global Events: Détente, Energy Crisis; Trade Agreements: Tokyo Round; Economic Aid$: Lomé Convention; Peacekeeping Missions: War of Attrition, Bangladesh Liberation War; Embassies Abroad: Continued expansion; Treaty Obligations: Helsinki Accords; Regional Organizations Participation: OPEC, G-77; Conflict History: Angolan Civil War, Lebanese Civil War; International Law Compliance: Law of the Sea; Cultural Diplomacy: Iran hostage crisis; Technology Exchange: Microelectronics; Space Cooperation: SALT I, ASTP.
4;Time Period: 1980-1990; Global Events: Iran-Iraq War, End of Cold War; Trade Agreements: Uruguay Round; Economic Aid$: Brady Plan; Peacekeeping Missions: Sinai, Namibia; Embassies Abroad: Continued expansion; Treaty Obligations: Chemical Weapons Convention, Paris Peace Accords; Regional Organizations Participation: EU, NAFTA; Conflict History: Gulf War, Yugoslav Wars; International Law Compliance: ICCPR, ICESCR; Cultural Diplomacy: Glasnost; Technology Exchange: Internet; Space Cooperation: Hubble Space Telescope.
5;Time Period: 1990-2000; Global Events: Rwandan Genocide, Collapse of USSR; Trade Agreements: WTO; Economic Aid$: HIPC Initiative; Peacekeeping Missions: Somalia, Bosnia; Embassies Abroad: Continued expansion; Treaty Obligations: Dayton Agreement, START II; Regional Organizations Participation: APEC, Shanghai Cooperation Organization; Conflict History: Chechen Wars, East Timorese Independence; International Law Compliance: International Criminal Tribunal for Rwanda; Cultural Diplomacy: Cultural Revolution in China; Technology Exchange: Information Technology Agreement; Space Cooperation: ISS.
6;Time Period: 2000-2010; Global Events: 9/11 Attacks, War on Terror; Trade Agreements: CAFTA-DR; Economic Aid$: Millennium Challenge Corporation; Peacekeeping Missions: Darfur, Haiti; Embassies Abroad: Continued expansion; Treaty Obligations: Nuclear Non-Proliferation Treaty, Kyoto Protocol; Regional Organizations Participation: African Union, Arab League; Conflict History: Iraq War, War in Afghanistan; International Law Compliance: International Court of Justice; Cultural Diplomacy: Soft power; Technology Exchange: 3G, Social media; Space Cooperation: Mars exploration.
7;Time Period: 2010-2020; Global Events: Arab Spring, COVID-19 Pandemic; Trade Agreements: TPP, Comprehensive and Progressive Agreement for Trans-Pacific Partnership; Economic Aid$: Belt and Road Initiative; Peacekeeping Missions: Mali, South Sudan; Embassies Abroad: Continued expansion; Treaty Obligations: Iran Nuclear Deal, Paris Agreement; Regional Organizations Participation: Eurasian Economic Union, BRICS; Conflict History: Syrian Civil War, Ukraine Crisis; International Law Compliance: International Law Commission; Cultural Diplomacy: Cultural exchange through social media; Technology Exchange: 5G, Artificial Intelligence; Space Cooperation: SpaceX.
8;Time Period: 2020-2030; Global Events: Climate Change, Technological Disruption; Trade Agreements: RCEP; Economic Aid$: Green New Deal; Peacekeeping Missions: Ethiopia, Mozambique; Embassies Abroad: Continued expansion; Treaty Obligations: Beijing Convention, Open Skies Treaty; Regional Organizations Participation: Community of Latin American and Caribbean States, Organization of Turkic States; Conflict History: Nagorno-Karabakh Conflict, Yemeni Civil War; International Law Compliance: International Humanitarian Law; Cultural Diplomacy: Virtual cultural exchange; Technology Exchange: Quantum Computing, Blockchain; Space Cooperation: Artemis program.
9;Time Period: 2030-2040; Global Events: Space Tourism, Autonomous Vehicles; Trade Agreements: Digital Trade Agreement; Economic Aid$: Global Marshall Plan; Peacekeeping Missions: Sahel, Cybersecurity; Embassies Abroad: Virtual embassies; Treaty Obligations: Global Methane Pledge, International Solar Alliance; Regional Organizations Participation: Indo-Pacific Economic Framework, Global Governance Architecture; Conflict History: Cyberwarfare, Water Wars; International Law Compliance: International Human Rights Law; Cultural Diplomacy: Augmented Reality Cultural Exchange; Technology Exchange: Biotechnology, Nanotechnology; Space Cooperation: Lunar Base, Mars Colony.</s>
