;Godheads;Domain;Family;Spouse & Children;Birthplace;Reincarnations;Abilities;Rituals;Symbols;Festivals;Modern Influence
0;  Zeus;Sky and Thunder;Olympians;Hera, Athena, Apollo, Artemis, Hermes, Persephone, Dionysus;Mount Olympus; None;Control of weather, Lightning bolts;Sacrifices, Lightning bolt symbols;Midsummer festivals;Popular figure in Western culture, inspiration for art and literature.;
1; Odin;Knowledge and War;Aesir;Frigg, Thor, Balder, Freyja;Asgard;None;Magic, Runecraft, Battle strategy;Runes, Ravens and spears;Blot months (Norse calendar months);Widespread influence on Norse mythology, modern paganism, and popular culture.;
2; Poseidon;Sea and Earthquakes;Olympians;Amphitrite, Triton;Atlantis;None;Horseback riding, Control over seas and earthquakes;Tridents, dolphins;Naval festivals;Continued fascination with sea exploration and conservation.;
3; Hades;Underworld;Olympians;Persephone;Tartarus;None;Control of riches beneath the Earth, Invisibility;Key, Cerberus, Helmets of darkness;Festivals for the dead (such as Day of the Dead, Halloween);Theme in modern fiction, video games, and movies.;
4; Lakshmi;Wealth and Prosperity;Hindu Trimurti;Vishnu, Narayana, Narasimha, Krishna, Buddha, Garuda, various avatars;Universe;Venkateswara, Rama, Narasimha;Creating and maintaining prosperity, Wealth, Generosity, Purity;Diwali;Iconic representation in Hinduism, presence in various other religions, influential figure in financial aspects of life.;;
5; Anubis;Mummification and the Afterlife;Egyptian Pantheon;Anput, Kebhsenuef;Egypt;Bastet, Thoth, Weret-Hekau;Guiding the dead, Embalming, Protection;Jackals, Scales, Staffs;Funeral rites;Associated with death, afterlife, and eternal journey, featured in various modern arts and literature.;
6; Athena;Wisdom and Military Victory;Olympians;None;Zeus' head;Medusa, Arachne;Strategic warfare, Wisdom, Handicraft;Owl, Olive tree, Shield;Academic festivals, Arts events;Greek goddess of wisdom, warfare, mathematics, and crafts, modern influence in academia and defense.;
7; Amaterasu;Sun, Moon and Stars;Shinto;Tsukuyomi, Susanoo;Takamagahara;None;Control over celestial bodies;Mirrors, Jewels, Swords;New Year festivals;Shinto religion's primary sun goddess, influence in Japanese culture.;
8; Hestia;Home and Family;Olympians;None;Olympus;None;Hearth and domestic life;Hearth, Fire;Home celebrations and fireside gatherings;Roman Vesta, hearth goddess in many cultures, symbolizes comfort, warmth, and familiarity.;
9; Indra;War, Storms, and Thunderbolts;Hinduism;Sachi, Indrani, Varuna, Vishnu;Swarga Loka;Shiva, Agni, Brihaspati;Control over weather, War, Rain;Thunderbolts, Elephants, Rainbows;Hinduism rain festivals;Influence in Hindu religion, literature, and culture.</s>;
10;  Odin;War and Death;Norse;Frigg, Thor, Baldur, Hoder;Asgard;None;Wisdom, Magic, War;Runes, Ravens, Spears;Winter festivals like Yule;Influence in Norse mythology and modern literature.;
11; Zeus;Sky, Weather, and Thunder;Olympians;Hera, Dionysus, Athena, Apollo;Olympus;None; Control over weather, Sky, Lightning;Thunderbolts, Eagles, Oak trees;Summer solstice celebrations;Influence in Greek culture and pantheon.;
12; Poseidon;Sea, Earthquakes, and Horses;Olympians;Amphitrite;Olympus;None; Control over sea, Earthquakes, Horses;Tridents, Dolphins, Horses;Sailor celebrations and sea festivals;Influence in Greek mythology and sea navigation.;
13; Hades;Underworld and Wealth;Olympians;Persphone;Olympus;None;Control over wealth, Death, Underworld;Helmets, Key, Cerberus;Underworld related festivals;Influence in afterlife perspectives and funeral traditions.;
14; Anubis;Death, Mummification, and Jackals;Ancient Egyptian;Anput, Khonsu;Egypt;Osiris;Protection of dead, Mummification, Afterlife;Jackals, Staff, Weighing scale;Day of the Dead, funerals;Influence in funerary rites and afterlife beliefs.;
15; Isis;Magic, Fertility, and Motherhood;Ancient Egyptian;Osiris, Horus;Egypt;None;Magic, Healing, Protection;Thrones, Knots, Seated women;Fertility festivals;Influence in Egyptian culture, women's rights, and magic.;
16; Maui;Trickster, Fire, and Strength;Polynesian;Hina, Various children with different women;Hawaii;None;Control over fire, Trickery, Strength;Fishhooks, Rainbows, Birds;Local Hawaiian and Polynesian festivals;Influence in Polynesian mythology and culture.;
17; Tlaloc;Rain, Storms, and Fertility;Aztec;Chalchiuhtlicue;Tlalocan;None;Control over rain, Storms, Fertility;Axes, Snails, Maize cobs;Rain and agricultural festivals;Influence in Aztec culture, agriculture, and religion.;
18; Quetzalcoatl;Wisdom, Wind, and Serpent;Aztec;None;Tollan;Topiltzin;Knowledge, Crafts, Religion;Feathers, Serpents, Precious stones;Local festivals, New Year;Influence in Aztec mythology, religion, and art.;
19; Susanoo;Sea, Storms, and Summer;Shinto;Kushinada-hime;Takamagahara;None;Control over sea, Storms, Summer;Swords, Magatama, Jewels;Summer festivals;Shinto deity of seas, storms, and summer, influence in Japanese culture.</s>;
20;  Odin;War, Wisdom, and Poetry;Norse;Frigga, numerous sons including Thor;Asgard;None;Wisdom, Magic, Battle strategy;Runes, Spears, Ravens;Blot Monthen (Winter Full Moon);Significant influence in Norse mythology and culture, associated with wisdom, poetry, and death.;
21; Poseidon;Sea, Earthquakes, and Horses;Greek;Amphitrite, many children including Triton;Atlantis or coastal Greece;None;Control over sea, Earthquakes, Horses;Tridents, Horses, Dolphins;Naval parades, Sea festivals;Important deity in Greek mythology, associated with sea, earthquakes, and horses.;
22; Isis;Magic, Fertility, and Motherhood;Egyptian;Osiris, Horus;Egypt;None;Magic, Healing, Protection;Thrones, Solar discs, Veils;Plenty of religious festivals;Highly venerated deity in ancient Egypt, associated with motherhood, magic, and resurrection.;
23; Lugh;Skills, Crafts, and Sun;Celtic;Eithne;Ireland;None;Mastery of all crafts, Skills, Healing;Spears, Slings, Harps;Lughnasadh (August 1);Central figure in Celtic mythology, associated with skills, harvest, and sun.;
24; Aphrodite;Love, Beauty, and Fertility;Greek;Hephaestus, Ares;Cyprus or Cythera;None;Love, Beauty, Fertility;Doves, Scallop shells, Roses;Valentine's Day, Weddings;Crucial deity in Greek mythology, associated with love, beauty, and fertility.;
25; Amaterasu;Sun, Rice, and Imperial family;Shinto;None;Takamagahara;None;Control over sun, Rice, Light;Mirrors, Jewels, Swords;Shinto rituals, New Year;Major Shinto deity, associated with sun, rice, and imperial family.;
26; Marduk;Justice, Creation, and Babylon;Babylonian;Sarpanitum, Nabu;Babylon;None;Justice, Control over chaos, Magic;Dragons, Palm trees, Flaming torches;Akitu (New Year), Other Babylonian festivals;Central deity in Babylonian mythology, associated with justice, creation, and Babylon.;
27; Anubis;Death, Mummification, and Jackals;Egyptian;None;Egypt;None;Death, Protection of the dead, Mummification;Jackals, Staffs, Balance scales;Funerals, Other religious rituals;Important deity in Egyptian mythology, associated with death and mummification.;
28; Manannán;Sea, Weather, and Warfare;Celtic;None;Ireland;None;Control over sea, Weather, Warfare;Horses, Apple trees, cloaks of invisibility;Various Irish and Scottish festivals;Significant deity in Celtic mythology, associated with sea, weather, and warfare.;
29; Tangaroa;Sea, Storms, and Creator of life;Polynesian;None;Pacific Ocean;None;Control over sea, Storms, Creation;Sharks, Turtles, Octopuses;Various Polynesian festivals;Central deity in Polynesian mythology, associated with sea, storms, and creation.</s>;
30;  Odin;War, Wisdom, Poetry, and Death;Norse;Frigga & Many;Asgard;None;Magic, Wisdom, Battle strategies;Ravens, Spears, Horses;Blót, Yule;Widely revered in Norse mythology, associated with war, wisdom, poetry, and death.;
31;  Zeus;Sky, Weather, Thunder, and Lightning;Greek;Hera & Many;Crete;None;Control over weather, Thunder, Lightning;Olympic flame, Eagle, Bull;Olympia;Main deity in Greek mythology, associated with sky, weather, thunder, and lightning.;
32; Poseidon;Sea, Earthquakes, and Horses;Greek;Amphitrite & Many;Greek islands;None;Control over sea, Earthquakes, Horses;Dolphins, Tridents, Horses;Various Greek festivals;Significant deity in Greek mythology, associated with sea, earthquakes, and horses.;
33; Hades;Wealth, Underworld, and Death;Greek;Persephone;Underworld;None;Wealth, Control over underworld;Helm of darkness, Cerberus, Key;Various Greek festologies;Ruled the underworld in Greek mythology and was associated with wealth and death.;
34; Hephaestus;Fire, Volcanoes, and Technology;Greek;Aglaea;Lemnos;None;Metalworking, Fire, Volcanoes;Hammer, Tongs, Donkey;Various Greek festivals;Significant deity in Greek mythology, associated with fire, volcanoes, and technology.;
35; Apollo;Sun, Music, Poetry, and Prophecy;Greek;None;Delphi;None;Music, Prophecy, Sun;Lyre, Bow, Laurel wreath;Various Greek festivals;Important deity in Greek mythology, associated with sun, music, poetry, and prophecy.;
36; Artemis;Hunt, Wilderness, and the Moon;Greek;None;Ortygia;None;Hunting, Wilderness, Moon;Bow, Arrows, Deer;Various Greek festivals;Significant deity in Greek mythology, associated with hunt, wilderness, and the moon.;
37; Athena;Wisdom, Courage, Inspiration, Civilization, Warfare, Mathematics, Strength, Strategy, the City;Greek;None;Athens;None;Wisdom, Courage, Inspiration, Civilization, Warfare, Mathematics, Strength, Strategy, City planning;Owl, Olive tree, Spear;Various Greek festivals;Principal deity in Greek mythology, associated with wisdom, courage, inspiration, civilization, warfare, mathematics, strength, strategy, the city.;
38; Ares;War, Violence, and Bloodshed;Greek;Aphrodite;Thrace;None;War, Violence, Bloodshed;Helmet, Spear, Shield;Various Greek festivals;Important deity in Greek mythology, associated with war, violence, and bloodshed.;
