;"""City Names""";"""Continent in City""";"""% City Area of Country""";"""Urban Population""";"""Average Annual Temperature""";"""Closeness to Major River""";"""Tourist Attractions""";"""\* City Area Out Of Country Total *""";"""\* Population Density in City *""";"""\* Capital City Status *""";"""\* Major River Flows Through City *""";"""\* Official Language(s) in City *""";"""\* Country Internet TLD in City *""";"""\* City Time Zone *"""
0;" ""Rio de Janeiro""";"""South America""";"""0.6%""";"""12.28 million""";"""23°C""";"""Atlantic Ocean (via Guanabara Bay)""";"""Christ the Redeemer, Copacabana, Ipanema""";"""N/A""";"""4925 / km²""";"""No""";"""Yes (via Guanabara Bay)""";"""Portuguese""";""".br""";"""BRT (Brasília Time)"" "
1;"""Mumbai""";"""Asia""";"""0.6%""";"""20.7 million""";"""27°C""";"""Arabian Sea (via Thane Creek)""";"""Gateway of India, Marine Drive, Chhatrapati Shivaji Maharaj Vastu Sangrahalaya""";"""N/A""";"""21143 / km²""";"""No""";"""Yes (via Thane Creek)""";"""English, Hindi""";""".in""";"""IST (Indian Standard Time)"" "
2;"""Cairo""";"""Africa""";"""0.4%""";"""21.3 million""";"""22°C""";"""Nile River""";"""Pyramids of Giza, Egyptian Museum, Nile River cruise""";"""N/A""";"""8046 / km²""";"""Yes""";"""Yes""";"""Arabic""";""".eg""";"""EET (Eastern European Time)"" "
3;"""Lagos""";"""Africa""";"""0.05%""";"""21 million""";"""26°C""";"""Atlantic Ocean (via Lagos Lagoon)""";"""National Museum, Lekki Conservation Centre, Freedom Park""";"""N/A""";"""7617 / km²""";"""No""";"""Yes (via Lagos Lagoon)""";"""English""";""".ng""";"""WAT (West Africa Time)"" "
4;"""Tokyo""";"""Asia""";"""0.3%""";"""37.4 million""";"""16°C""";"""Pacific Ocean (via Tokyo Bay)""";"""Tokyo Skytree, Meiji Shrine, Shibuya Crossing""";"""N/A""";"""6158 / km²""";"""Yes""";"""Yes (via Tokyo Bay)""";"""Japanese""";""".jp""";"""JST (Japan Standard Time)"" "
5;"""New York""";"""North America""";"""0.3%""";"""18.8 million""";"""13°C""";"""Atlantic Ocean""";"""Statue of Liberty, Central Park, Empire State Building""";"""N/A""";"""10715 / km²""";"""Yes""";"""No""";"""English""";""".us""";"""EST (Eastern Standard Time)"" "
6;"""São Paulo""";"""South America""";"""0.3%""";"""21.7 million""";"""22°C""";"""None""";"""Paulista Avenue, Ibirapuera Park, Latin America Memorial""";"""N/A""";"""7515 / km²""";"""Yes""";"""No""";"""Portuguese""";""".br""";"""BRT (Brasília Time)"" "
7;"""Shanghai""";"""Asia""";"""1%""";"""24.2 million""";"""16°C""";"""East China Sea (via Yangtze River)""";"""The Bund, Yu Garden, Oriental Pearl Tower""";"""N/A""";"""3814 / km²""";"""Yes""";"""Yes (via Yangtze River)""";"""Mandarin""";""".cn""";"""CST (China Standard Time)"" "
8;"""Osaka""";"""Asia""";"""0.8%""";"""19.3 million""";"""16°C""";"""None""";"""Osaka Castle, Universal Studios Japan, Dōtonbori""";"""N/A""";"""6578 / km²""";"""No""";"""No""";"""Japanese""";""".jp""";"""JST (Japan Standard Time)"" "
9;"""Mexico City""";"""North America""";"""0.1%""";"""21.7 million""";"""16°C""";"""None""";"""Zócalo, Chapultepec Castle, Xochimilco""";"""N/A""";"""6171 / km²""";"""Yes""";"""No""";"""Spanish""";""".mx""";"""CST (Central Standard Time)"" </s>"
10;" ""Lagos";Africa;0.1%;21.0 million;26°C;None;National Museum Lagos, Lekki Conservation Centre, Third Mainland Bridge;N/A;3187 / km²;Yes;No;English;.ng;"WAT (West Africa Time)"" "
11;"""Tokyo";Asia;0.7%;37.4 million;16°C;None;Tokyo Skytree, Meiji Shrine, Shibuya Crossing;N/A;6372 / km²;Yes;No;Japanese;.jp;"JST (Japan Standard Time)"" "
12;"""New York";North America;1%;20.3 million;13°C;Hudson River;Statue of Liberty, Central Park, Times Square;0.001%;2760 / km²;Yes;Yes;English;.us;"EST (Eastern Standard Time)"" "
13;"""São Paulo";South America;10%;22.0 million;22°C;Tietê River;Pàulista Avenue, Ibirapuera Park, São Paulo Cathedral;0.01%;Yes;Yes;Portuguese;.br;"BRST (Brazil Standard Time)""";
14;"""Mumbai";Asia;6%;20.7 million;27°C;Arabian Sea;Gateway of India, Marine Drive, Chhatrapati Shivaji Maharaj Vastu Sangrahalaya;N/A;20,217 / km²;Yes;Yes;Hindi, English;.in;"IST (India Standard Time)"" "
15;"""Beijing";Asia;0.2%;21.5 million;13°C;None;Forbidden City, Great Wall of China, Summer Palace;N/A;1362 / km²;Yes;No;Mandarin;.cn;"CST (China Standard Time)"" "
16;"""Cairo";Africa;20%;20.5 million;24°C;Nile River;Pyramids of Giza, Egyptian Museum, Islamic Cairo;0.001%;Yes;Yes;Arabic;.eg;"EET (Eastern European Time)""";
17;"""Dhaka";Asia;0.5%;20.3 million;26°C;Buriganga River;Ahsan Manzil, Lalbagh Fort, National Parliament House;0.05%;Yes;Yes;Bengali;.bd;"BST (Bangladesh Standard Time)""";
18;"""Paris";Europe;18%;12.1 million;12°C;Seine River;Eiffel Tower, Louvre Museum, Notre-Dame Cathedral;0.02%;Yes;No;French;.fr;"CET (Central European Time)""";
19;"""London";Europe;13%;9.0 million;11°C;Thames River;British Museum, Tower of London, Buckingham Palace;0.09%;Yes;No;English;.uk;"GMT (Greenwich Mean Time)""";</s>
20;" ""Mumbai";Asia;0.6%;20.7 million;27°C;Ulhas River;Gateway of India, Taj Mahal Palace, Chhatrapati Shivaji Maharaj Vastu Sangrahalaya;0.01%;Yes;No;Marathi, Hindi;.in;"IST (Indian Standard Time)""";
21;"""Istanbul";Europe/Asia;0.7%;15.5 million;14°C;Bosphorus Strait;Hagia Sophia, Topkapi Palace, Blue Mosque;0.01%;Yes;No;Turkish;.tr;"TRT (Turkey Time)""";
22;"""Shanghai";Asia;0.5%;24.2 million;17°C;Yangtze River;The Bund, Yu Garden, Shanghai Tower;0.02%;Yes;No;Mandarin;.cn;"CST (China Standard Time)""";
23;"""Moscow";Europe;3%;17.8 million;5°C;Moskva River;Red Square, Kremlin, Saint Basil's Cathedral;0.2%;Yes;No;Russian;.ru;"MSK (Moscow Standard Time)""";
24;"""Tokyo";Asia;0.7%;37.4 million;16°C;Sumida River;Tokyo Skytree, Tokyo Tower, Meiji Shrine;0.8%;Yes;No;Japanese;.jp;"JST (Japan Standard Time)""";
25;"""New York";North America;0.4%;18.8 million;13°C;Hudson River;Statue of Liberty, Central Park, Times Square;0.2%;Yes;No;English;.us;"EST (Eastern Standard Time)""";
26;"""São Paulo";South America;0.1%;21.7 million;22°C;Tietê River;Pátio do Colégio, Catedral da Sé, Estádio do Morumbi;0.03%;No;No;Portuguese;.br;"BRT (Brasília Time)""";
27;"""Cairo";Africa;18%;20.5 million;25°C;Nile River;Great Sphinx, Giza Pyramids, Egyptian Museum;0.03%;Yes;No;Arabic;.eg;"EET (Eastern European Time)""";
28;"""Jakarta";Asia;0.8%;10.6 million;28°C;Ciliwung River;National Monument, Istiqlal Mosque, Sunda Kelapa Port;0.01%;Yes;No;Indonesian;.id;"WIT (Western Indonesian Time)""";
29;"""Osaka";Asia;0.3%;19.3 million;17°C;Yodo River;Osaka Castle, Universal Studios Japan, Expo '70 Commemorative Park;0.05%;No;No;Japanese;.jp;"JST (Japan Standard Time)""</s>";
30;" ""Lagos";Africa;15%;21 million;27°C;Lagos Lagoon & Gulf of Guinea;National Theatre, Tafawa Balewa Square, Freedom Park;0.06%;Yes;Yes;English;.ng;"WAT (West Africa Time)""";
31;"""Alexandria";Africa;33%;4.5 million;22°C;Mediterranean Sea;Bibliotheca Alexandrina, Fort Qaitbey, Alexandria National Museum;0.01%;No;No;Arabic;.eg;"EET (Eastern European Time)""";
