;Ancient Civilizations' Laws; Medieval Societies' Customs ; Renaissance Artists ; Colonial Empires' Borders ; Industrial Era's Inventions ; Global Conflicts' Turning Points ; Environmental Movements ; Ideologies' Founders ; Archaeological Sites ; Literary Genres.
0;  Hammurabi's Code; Trial by Ordeal; Leonardo da Vinci, Michelangelo; Treaty of Tordesillas; Steam Engine, Telegraph; Battle of Stalingrad; Save the Redwoods League; Karl Marx, Friedrich Engels; Pyramids of Giza; Sci-Fi Literature.
1; Mesopotamian City-States' Laws; Feudal Contracts; Raphael, Donatello; Dutch-Portuguese War Borders; Spinning Jenny, Railways; D-Day; Environmental Defense Fund; Mahatma Gandhi, Jean-Jacques Rousseau; Machu Picchu; Mystery Fiction.
2; Code of Ur-Nammu; Chivalry & Courts of Love; Botticelli, Titian; Scramble for Africa Borders; Dynamite, Light Bulb; Battle of Midway; Greenpeace; Vladimir Lenin, Joseph Stalin; Angkor Wat; Horror Literature.
3; Draconian Constitution; Manorialism; Caravaggio, Rembrandt; Berlin Conference Borders; Photography, Typewriter; Atomic Bombing of Hiroshima; Sierra Club; Socrates, Plato; Pompeii; Drama Literature.
4; Athenian Constitution; Clan-based Justice; Velazquez, Vermeer; Treaty of Madrid Borders; Steamship, Telephone; Fall of Berlin Wall; World Wildlife Fund; Sigmund Freud, Carl Jung; Great Wall of China; Romance Novels.
5; Twelve Tables; Honor & Shame Culture; Rubens, Rembrandt; Treaty of Utrecht Borders; Electric Power, Airplane; Cuban Missile Crisis; Friends of the Earth; Thomas Hobbes, John Locke; Petra; Adventure & Travel Literature.
6; Roman Law; Early Germanic Customs; Michelangelo, Raphael; Congress of Vienna Borders; Assembly Line, Submarine; September 11 Attacks; The Nature Conservancy; Friedrich Nietzsche, Martin Heidegger; Easter Island; Historical Fiction.
7; Musas' Law; Celtic Brehon Laws; Dali, Picasso; Treaty of London Borders; Refrigerator, Radio; Vietnam War Tet Offensive; Sea Shepherd; Mohandas Gandhi, Jiddu Krishnamurti; Palmyra; Fantasy Literature.
8; Code of Justinian; Byzantine Canon Law; El Greco, Goya; Sykes-Picot Agreement Borders; Television, Computer; Iranian Revolution; Rainforest Foundation; Ayn Rand, Alan Greenspan; Chichen Itza; Crime Literature.
9; Aztec Legal Code; Japanese Feudal Laws; Van Gogh, Monet; Yalta Conference Borders; Plastic, Jet Engine; Desert Storm; Amazon Watch; Noam Chomsky, Michel Foucault; Mohenjo-daro; Science Fiction Literature.</s>
10;  Babylonian Laws; Frankish Salic Laws; Raphael, Michelangelo; Berlin Congress Borders; Light Bulb, Telephone; Cold War; Sierra Club; John Locke, Immanuel Kant; Pompeii; Romance Literature.
11; Hammurabi Code; Icelandic Grágás Laws; Botticelli, Titian; Treaty of Tordesillas Borders; Automobile, Assembly Line; World War I; Wildlife Conservation Society; Friedrich Nietzsche, Jean-Paul Sartre; Angkor Wat; Historical Fiction Literature.
12; Code of Ur-Nammu; Anglo-Saxon Laws; Caravaggio, Rembrandt; Treaty of Versailles Borders; Electricity, Airplane; Russian Revolution; Environmental Defense Fund; Karl Marx, Sigmund Freud; Machu Picchu; Mystery Literature.
13; Draconian Law; Canon Law of the Visigoths; Leonardo da Vinci, Donatello; Oder-Neisse Line Borders; Penicillin, Vaccines; World War II; Greenpeace; Søren Kierkegaard, Bertrand Russell; Petra; Adventure Literature.
14; Laws of Eshnunna; Lombard Law; Durer, Bosch; Camp David Accords Borders; Atomic Energy, Internet; Korean War; World Wildlife Fund; Mahatma Gandhi, Martin Luther King Jr.; Easter Island; Horror Literature.
15; Spartan Constitution; Theodosian Code; Rubens, Rembrandt; Brest-Litovsk Treaty Borders; Steam Engine, Dynamite; Vietnam War; National Resources Defense Council; Thomas Hobbes, John Stuart Mill; Göbekli Tepe; Children's Literature.
16; Athenian Constitution; Burgundian Law; Titian, Tintoretto; Treaty of Saint-Germain-en-Laye Borders; Electric Power, Radio; Gulf War; Rainforest Action Network; Thomas Jefferson, John Rawls; Cahokia; Fantasy Literature.
17; Roman Law of the Twelve Tables; Feudal Japanese Law; Bruegel, Vermeer; Treaty of Brest-Litovsk Borders; Television, Computer; Cold War; Sierra Club; Adam Smith, Karl Popper; Stonehenge; Crime Literature.
