;"""Problems in Math""";"""Theoretical Concepts""";"""Mathematical Models""";"""Algorithms""";"""Computational Methods""";"""Data Analysis""";"""Visual Representations""";"""Research Areas""";"""Teaching Methods""";"""Learning Resources""";"""Assessment Tools""";"""Conference Topics""";"""Professional Organizations""";"""Funding Sources"""
0;" ""Problems in Math""";"""Theoretical Concepts""";"""Mathematical Models""";"""Algorithms""";"""Computational Methods""";"""Data Analysis""";"""Visual Representations""";"""Research Areas""";"""Teaching Methods""";"""Learning Resources""";"""Assessment Tools""";"""Conference Topics""";"""Professional Organizations""";"""Funding Sources"""
1;" ""Finding Primes""";"""Number Theory""";"""Sieve of Eratosthenes""";"""Trial Division""";"""Computational Number Theory""";"""Statistical Analysis of Prime Distributions""";"""Plotting Primes on Number Line""";"""Distribution of Primes in Arithmetic Progressions""";"""Direct Instruction""";"""Online Prime Number Generators""";"""Timed Quizzes""";"""Conference on Elementary Number Theory""";"""American Mathematical Society""";"""National Science Foundation"""
2;" ""Geometry of Curves""";"""Differential Geometry""";"""Frenet-Serret Frame""";"""Natural Equations""";"""Numerical Methods for Differential Equations""";"""Curvature and Torsion Analysis""";"""3D Visualization of Curves""";"""Curves in Special Relativity""";"""Problem-Based Learning""";"""Interactive Geometry Software""";"""Performance-Based Assessment""";"""Conference on Differential Geometry""";"""International Mathematical Union""";"""European Research Council"""
3;" ""Optimal Stopping Problems""";"""Probability Theory""";"""Martingales""";"""Dynamic Programming""";"""Monte Carlo Simulations""";"""Analysis of Optimal Stopping Strategies""";"""Decision Trees""";"""Applications in Finance and Economics""";"""Flipped Classroom""";"""Simulation Software""";"""Project-Based Assessment""";"""Conference on Stochastic Processes""";"""Institute of Mathematical Statistics""";"""National Institutes of Health"""
4;" ""Combinatorial Designs""";"""Combinatorics""";"""Block Designs""";"""Orthogonal Arrays""";"""Burnside's Lemma""";"""Applications in Experimental Design""";"""Visualization of Designs""";"""Extremal Combinatorics""";"""Group Work""";"""Hands-On Manipulative Activities""";"""Peer Assessment""";"""Conference on Combinatorics and Design Theory""";"""Society for Industrial and Applied Mathematics""";"""Simons Foundation"""
5;" ""Spectral Graph Theory""";"""Graph Theory""";"""Adjacency Matrix""";"""Laplacian Matrix""";"""Eigenvalues and Eigenvectors""";"""Applications in Network Analysis""";"""Graph Drawing""";"""Extremal Graph Theory""";"""Inquiry-Based Learning""";"""Online Interactive Graph Theory Tools""";"""Self-Assessment""";"""Conference on Graph Theory""";"""Association for Women in Mathematics""";"""Deutscher Akademischer Austauschdienst"""
6;" ""P versus NP""";"""Complexity Theory""";"""Decision Problems""";"""Cook-Levin Theorem""";"""Polynomial-Time Reductions""";"""Impact on Cryptography and Computational Algebra""";"""Visualization of Complexity Classes""";"""Quantum Computing and Complexity""";"""Case-Based Learning""";"""Online Tutorials""";"""Portfolio Assessment""";"""Conference on Computational Complexity""";"""Complex Systems Society""";"""Horizon 2020"""
7;" ""Coding Theory""";"""Algebraic Coding Theory""";"""Linear Codes""";"""Cyclic Codes""";"""Codes on Graphs""";"""Applications in Data Storage and Transmission""";"""Visualization of Error Correction""";"""Quantum Error Correction""";"""Active Learning""";"""Online Coding Theory Platforms""";"""Performance Tasks""";"""Conference on Coding Theory and Applications""";"""International Association for Cryptologic Research""";"""Australian Research Council"""
8;" ""Partial Differential Equations""";"""Partial Differential Equations""";"""Method of Characteristics""";"""Variational Methods""";"""Finite Element Method""";"""Applications in Physics and Engineering""";"""Phase Portraits""";"""Nonlinear Partial Differential Equations""";"""Cooperative Learning""";"""Computational Simulation Tools""";"""Authentic Assessment""";"""Conference on Partial Differential Equations""";"""International Mathematical Union""";"""Engineering and Physical Sciences Research Council"""
9;" ""Fractals and Chaos""";"""Chaos Theory""";"""Iterated Function Systems""";"""Julia Sets and Mandelbrot Sets""";"""Fractal Dimension""";"""Applications in Natural Sciences and Engineering""";"""Fractal Image Compression""";"""Nonlinear Dynamics""";"""Discovery Learning""";"""Fractal Generation Software""";"""Rubrics""";"""Conference on Chaos and Complexity""";"""Santa Fe Institute""";"""National Geographic Society"""
10;" ""Matroid Theory""";"""Combinatorics""";"""Independence Systems""";"""Bases and Circuits""";"""Matroid Polytopes""";"""Applications in Graph Theory and Optimization""";"""Matroid Representations""";"""Algebraic Matroids""";"""Collaborative Learning""";"""Online Matroid Theory Resources""";"""Peer Review""";"""Conference on Matroid Theory""";"""International Congress of Mathematicians""";"""Canadian Mathematics Society""</s>"
