;GardenLocation; DateLastTended; AverageRainfall; ClimateCondition; MaintenanceSchedule; FertilityRequirements; BestCompanionPlants; SoilingType; ToolsUsed; HarvestSeason
0; GardenLocation: Backyard; DateLastTended: 2021-09-15; AverageRainfall: 30mm; ClimateCondition: Temperate; MaintenanceSchedule: Weekly watering, monthly pruning; FertilityRequirements: Regular fertilization; BestCompanionPlants: Lavender and Rosemary; SoilingType: Loamy; ToolsUsed: Trowel, Pruning shears, Watering can.;
1;GardenLocation: Community plot; DateLastTended: 2021-09-10; AverageRainfall: 40mm; ClimateCondition: Humid Subtropical; MaintenanceSchedule: Daily watering, weekly weeding; FertilityRequirements: High; BestCompanionPlants: Corn and beans; SoilingType: Sandy; ToolsUsed: Shovel, Rake, Hose.;
2;GardenLocation: Rooftop; DateLastTended: 2021-09-12; AverageRainfall: 20mm; ClimateCondition: Urban; MaintenanceSchedule: Twice weekly watering, monthly fertilizing; FertilityRequirements: Medium; BestCompanionPlants: Strawberries and spinach; SoilingType: Roof garden soil; ToolsUsed: Small shovel, Gloves, Watering can.;
3;GardenLocation: Window box; DateLastTended: 2021-09-11; AverageRainfall: N/A; ClimateCondition: Indoor; MaintenanceSchedule: Weekly watering, monthly nutrient check; FertilityRequirements: Low; BestCompanionPlants: Marigolds and petunias; SoilingType: Potting mix; ToolsUsed: Trowel, Watering can, Pruning scissors.;
4;GardenLocation: Allotment; DateLastTended: 2021-09-08; AverageRainfall: 25mm; ClimateCondition: Temperate; MaintenanceSchedule: Weekly watering, monthly weeding; FertilityRequirements: Regular composting; BestCompanionPlants: Carrots and onions; SoilingType: Loamy; ToolsUsed: Spade, Fork, Hose.;
5;GardenLocation: Greenhouse; DateLastTended: 2021-09-13; AverageRainfall: N/A; ClimateCondition: Controlled; MaintenanceSchedule: Daily watering, bi-weekly feeding; FertilityRequirements: High; BestCompanionPlants: Tomatoes and basil; SoilingType: Specialty potting mix; ToolsUsed: Watering can, Garden knife, Gloves.;
6;GardenLocation: Balcony; DateLastTended: 2021-09-09; AverageRainfall: N/A; ClimateCondition: Urban; MaintenanceSchedule: Twice weekly watering, monthly pruning; FertilityRequirements: Medium; BestCompanionPlants: Geraniums and ferns; SoilingType: Balcony planter mix; ToolsUsed: Small trowel, Watering can, Pruning shears.;
7;GardenLocation: Community garden; DateLastTended: 2021-09-05; AverageRainfall: 35mm; ClimateCondition: Temperate; MaintenanceSchedule: Weekly watering, monthly fertilizing; FertilityRequirements: Regular composting; BestCompanionPlants: Peas and radishes; SoilingType: Loamy; ToolsUsed: Spade, Rake, Hose.;
8;GardenLocation: Hanging baskets; DateLastTended: 2021-09-14; AverageRainfall: N/A; ClimateCondition: Indoor/Outdoor; MaintenanceSchedule: Daily watering, weekly nutrient check; FertilityRequirements: Low; BestCompanionPlants: Pansies and ivy; SoilingType: Specialized basket liner; ToolsUsed: Small trowel, Watering can, Pruning scissors.;
9;GardenLocation: Botanical garden; DateLastTended: 2021-09-07; AverageRainfall: Varies; ClimateCondition: Varies; MaintenanceSchedule: Daily/Weekly as needed; FertilityRequirements: High; BestCompanionPlants: Varies; SoilingType: Varies; ToolsUsed: Varies.</s>;
