;Philosopher Birthplace;Philosophers by Century;Number of Women Philosophers;Rated Philosophy Books;Famous Thought Experiments;Quotes about Education and Epistemology;Inspirational Quotes for Women in Philosophy;Progressive Movements' Influence on Modern Pedagogy;Unique Philosophical Methodologies;Century Impact Factor;Intersectionality in Ethics;"Curriculum Impact of ""isms""";Philosophy Curriculum in Schools Today;Unrelated Column 14
0;  Immanuel Kant;Germany, 18th Century;1;Critique of Pure Reason, Critique of Practical Reason;"What is enlightenment? - "" sapere aude! "" Dare to know!";"Education should be humanistic - ""Man's employment of hisUnderstanding, within the limits of language, is mere discursive Understanding and often very narrow-minded.""";"Encourage questioning - ""Doubt is not a pleasant condition, but certainty is absurd.""";2.5;Feminist Ethics;"Inclusion of philosophers' works in various ""isms""-based courses";No data;;;
1; Jean-Jacques Rousseau;Switzerland, 18th Century;0;Emile, or On Education, The Social Contract;"Nature is the best teacher - ""Everything is good as it leaves the hands of the Author of things";" everything degenerates in the hands of man.""";"Whole-child education - ""The first education ought to be negative""";"Education should not suppress children's curiosity - ""To punish without anger, to correct without harshness, to reform without humiliation, to be firm without severity, to be kind without condescension"".""";2.0;Social Contract Theory;Integration of various disciplines;Yes;;
2; Friedrich Nietzsche;Germany, 19th Century;0;Thus Spoke Zarathustra, Beyond Good and Evil;"God is dead - ""God is dead. God remains dead. And we have killed him.""""The individual has always had to struggle to keep from being overwhelmed by the tribe.""""The surest way to corrupt a youth is to instruct him to hold in higher esteem those who think alike than those who think differently.""""";1.5;Existentialism;Critical thinking and questioning;Yes;;;;;
3; Simone de Beauvoir;France, 20th Century;1;The Second Sex, Ethics of Ambiguity;"Feminism has a political stance - ""Man is defined as a human being and a woman as a female - whenever she behaves as a human being she is said to imitate the male.""""To be a feminist is to assert the equality of women and to deny that the limits of women's capabilities are defined by her sex.""""Change can only come through collective action.""""";3.0;Feminist Theory;Emphasize female philosophers;Yes;;;;;
4; John Dewey;US, 20th Century;0;Democracy and Education, Experience and Education;"Learning by doing - ""Education is not preparation for life";" education is life itself.""";"Education should be relevant - ""If we teach today's students as we taught yesterday's, we rob them of tomorrow.""";"Education must be personalized - ""What the best and wisest parent wants for his own child, that must the community want for all of its children.""""";3.5;Pragmatism;Reform of education practices;Yes;;
5; Søren Kierkegaard;Denmark, 19th Century;0;Fear and Trembling, Either/Or;"Existence precedes essence - ""Anxiety is the dizziness of freedom.""""The most common form of despair is not being who you are.""""People demand freedom of speech as a compensation for the freedom of thought which they seldom use.""";1.5;Existentialism;Holistic approaches in learning;No;;;;;
6; Hannah Arendt;Germany, 20th Century;1;The Origins of Totalitarianism, Eichmann in Jerusalem: A Report on the Banality of Evil;"Totalitarianism is a form of government that requires extreme obedience - ""The ideal subject of totalitarian rule is not the convinced Nazi or the dedicated communist, but people for whom the distinction between fact and fiction, true and false, no longer exists.""""The greatest challenge to any thinker is stating the problem in a way that will allow a solution.""";3.0;Political Philosophy;Inclusion of diverse political perspectives;Yes;;;;;
7; Aristotle;Greece, 4th Century BC;0;Nicomachean Ethics, Metaphysics;"Balance in all things - ""Virtue is the golden mean between extremes.""""The roots of education are bitter, but the fruit is sweet.""";"Ethics should be based on reason - ""Piety requires us to act in accordance with that to which we owe our being, i.e., our parents and our country and everything else that is our good by nature.""";2.0;Virtue Ethics;Teaching of ethics in all levels;Yes;;;;
8; Bertrand Russell;UK, 20th Century;1;Principles of Mathematics, Problems of Philosophy;"Logic as the foundation of philosophy - ""Mathematics, rightly viewed, possesses not only truth, but supreme beauty""";"Skepticism is important - ""The whole problem with the world is that fools and fanatics are always so certain of themselves, and wiser people so full of doubts.""";"Support women in philosophy - ""It is undeniable that the influence of custom and conventional canon is too strong to be set aside without the aid of a vigorous critical spirit.""";2.5;Analytic Philosophy;Encourage critical thinking;Yes;;;
9; Michel Foucault;France, 20th Century;1;Discipline and Punish, History of Sexuality;"Power relationships are everywhere - ""Where there is power, there is resistance.""""The history of ideas is often a history of misunderstandings.""";"Gender and sexuality are socially constructed - ""Sexuality is an imaginary construct""";3.0;Post-structuralism;Integration of social issues in curriculum;Yes;</s>;;;
