;LENS Type; FlashMode ; WhiteBalance ; LensesUsed ; FilterAttached? ; FlashStatus ; AutoFocusState ; ImageStabilization ; ISOSetting ; ExpCompVal; Fourth Column ; FifthColumn ; DateTaken
0;" ""70-200mm f/8"" "; Auto ; Auto ; 2 ; No ; Ready ; On ; On ; 400 ; 0/3 ; Shot Settings ; Histogram Data ; 2022-03-24
1;"""50mm f/4"" "; Fill-in ; Cloudy ; 1 ; Polarizer ; Fired ; On ; On ; 800 ; -1/3 ; Custom WB ; Exif Data ; 2022-03-23
2;"""24-70mm f/8"" "; Red-eye Reduce ; Daylight ; 1 ; UV ; Recycling ; On ; On ; 1600 ; 0 ; Focus Point ; Metering ; 2022-03-22
3;"""10-22mm f/5-5"" "; Slow-sync ; Shade ; 2 ; ND ; Available ; Off ; On ; 3200 ; 2/3 ; Aperture ; Shutter ; 2022-03-21
4;"""300mm f/4"" "; Rear-curtain ; Fluorescent ; 1 ; CPL ; Used ; Off ; Off ; 6400 ; 1/3 ; Distance Info ; Lens ID ; 2022-03-20
5;"""16-35mm f/8"" "; Manual ; Tungsten ; 1 ; Soft ; No Flash ; On ; On ; 12800 ; -2/3 ; AF Mode ; Image Size ; 2022-03-19
6;"""85mm f/2"" "; Off ; Flash ; 0 ; Gradual ; Fired ; Off ; Off ; 25600 ; 0 ; Post-processing ; Print Size ; 2022-03-18
7;"""24mm f/4"" "; Auto Red-eye ; Cloudy ; 1 ; Warmer ; Available ; On ; On ; 51200 ; 1/3 ; Picture Style ; Color Space ; 2022-03-17
8;"""100mm f/8 Macro"" "; Slow-sync ; Shade ; 1 ; Cooler ; Fired ; On ; On ; 100 ; -1 ; White Balance ; EXIF Orientation ; 2022-03-16
9;"""14mm f/8"" "; Manual Red-eye ; Daylight ; 0 ; Star ; No Flash ; Off ; Off ; 200 ; 0 ; Digital Zoom ; Aspect Ratio ; 2022-03-15</s>
