;time_period; variable_type; Gross Domestic Savings; $ trillions; industry_subcategory_code; country_region_name; state_abbreviation; population_size; data_source; sample_description; inflation_rate
0; 2015; Quarterly; 2.1; 2.1; 11; United States; NA; 323.1 million; World Bank; National accounts data, OECD; 0.12%
1;2015; Quarterly; 0.9; 0.9; 12; Japan; NA; 127.1 million; World Bank; National accounts data, OECD; 0.01%
2;2015; Quarterly; 1.8; 1.8; 13; China; CN; 1,384.6 million; World Bank; National accounts data, OECD; 1.3%
3;2015; Quarterly; 0.3; 0.3; 14; Germany; DE; 80.6 million; World Bank; National accounts data, OECD; -0.2%
4;2015; Quarterly; 0.4; 0.4; 15; United Kingdom; GB; 66.6 million; World Bank; National accounts data, OECD; -0.1%
5;2014; Annually; 3.3; 3.3; 11; United States; NA; 318.9 million; World Bank; National accounts data, OECD; 1.62%
6;2014; Annually; 1.5; 1.5; 12; Japan; NA; 126.7 million; World Bank; National accounts data, OECD; -0.1%
7;2014; Annually; 3.2; 3.2; 13; China; CN; 1,367.8 million; World Bank; National accounts data, OECD; 2%
8;2014; Annually; 0.7; 0.7; 14; Germany; DE; 80.5 million; World Bank; National accounts data, OECD; 0.9%
9;2014; Annually; 1; 1; 15; United Kingdom; GB; 64.6 million; World Bank; National accounts data, OECD; 1.5%</s>
