;Moh's Hardness Scale; Specific Gravity; Crystal Habit; Color; Dana System Rank; Cleavage Planes; Optical Properties; Chemical Formula; Radioactivity Level; Use in Jewelry; Other Identifiers; *; *; *; *
0;"  ""1"; 2.7; Cubic; Colorless, Gray; I; None; Isotropic, Vitreous Luster; SiO2; None; Commonly used as an abrasive; Quartz, Silica; *; *; *;" *"""
1;" ""2"; 3-6; Hexagonal; White; I; Perfect Basal; Anisotropic, Pearly Luster; CaCO3; None; Used in ornamental and decorative stone; Calcite; *; *; *;" *"""
2;" ""3"; 5.26; Rhombohedral; Blue, Gray, Green, White; II; Three Directions; Anisotropic, Silky Luster; CaCO3 + MgCO3 + FeCO3; None; Used in paint and pigments; Dolomite, Mineral Dolomite; *; *; *;" *"""
3;" ""4"; 4.09; Monoclinic; Red, Green, Brown, Yellow; IV; Distinct, Two Directions; Anisotropic, Resinous Luster; Fe2O3 + H2O; None; Used as a pigment and in jewelry; Hematite, Iron Oxide; *; *; *;" *"""
4;" ""5"; 7.1; Tetragonal; Black, Gold, Silver; II; None; Isotropic, Metallic Luster; CuAuTe4; Low; Used in jewelry and electronics; Native Gold, Gold Telluride; *; *; *;" *"""
5;" ""6"; 2.65; Triclinic; White, Gray, Yellow; III; None; Isotropic, Pearly Luster; CaMg(CO3)2; None; Used in construction and ornamental stone; Magnesite, Magnesium Carbonate; *; *; *;" *"""
6;" ""7"; 3.9-4.3; Rhombohedral; Various Colors; III; Distinct Basal; Anisotropic, Resinous Luster; Al2SiO5; None; Used in ceramics and jewelry; Andalusite, Aluminum Silicate; *; *; *;" *"""
7;" ""8"; 7.34; Monoclinic; Green, Brown; IV; Perfect, Two Directions; Anisotropic, Vitreous Luster; Mn2SiO4; None; Used as a gemstone and ornamental stone; Rhodonite, Manganese Silicate; *; *; *;" *"""
8;" ""9"; 5.67; Hexagonal; Red, Black; III; None; Anisotropic, Resinous Luster; TiO2; None; Used in paint and sunscreen; Rutile, Titanium Dioxide; *; *; *;" *"""
9;" ""10"; 10.02; Monoclinic; Silver, Gold; I; Poor, One Direction; Anisotropic, Metallic Luster; Au; None; Used in jewelry and electronics; Native Gold, Gold Nugget; *; *; *;" *""</s>"
