;Original Documents; Scholarly Interpretations ; Historical Frameworks ; Influential Figures; Art & Architectural Styles; Cultural Norms ; Monetary Systems ; Governmental Systems; Class Divisions ; Technological Developments ; Scientific Discoveries ; Environmental Impact
0;"  ""Rosetta Stone"; Deciphered hieroglyphs expanded knowledge on ancient Egypt; Classical Period; Cleopatra; Greco-Roman art, obelisks; Religious tolerance; Greek drachma, Roman denarius; Republics, Empire; Slave/noble classes; Aqueducts, Roman roads; Medicine;" Soil degradation"""
1;" ""Magna Carta"; Limited monarchy's power, protecting citizens' rights; Feudal Europe; King John of England; Gothic architecture, illuminated manuscripts; Chivalry; Gold coinage; Monarchies; Noble/knight/serf classes; Castles, cathedrals; Plow, windmill;" Astronomy"""
2;" ""Mayan Codices"; Provided insight into Mayan civilization's decline; Postclassical Mesoamerica; Prophet Chilam Balam; Stone pyramids, stelae; Complex rituals, human sacrifice; Cacao beans, copper axes; Theocracies; Ruling elite/commoners; Hieroglyphic writing, calendars;" Agriculture, irrigation""";
3;" ""Gutenberg Bible"; Sparked the Printing Revolution, enabling mass communication; Renaissance; Johannes Gutenberg; Illuminated printed books, oil painting; Humanism, individualism; Gold florins, silver groschen; City-states, papacy; Merchant/noble/peasant classes; Printing press, movable type;" Physics, mathematics""";
4;" ""Declaration of Independence"; Proclaimed American colonies' sovereignty from British rule; Age of Enlightenment; Thomas Jefferson; Federalist architecture, portraiture; Republicanism, liberty; Continental currency; Federal government; Aristocrats/middle class/laborers; Steam engine, telegraph;" Electricity, chemistry""";
5;" ""Communist Manifesto"; Galvanized global working-class movements, influencing social change; Industrial Revolution; Karl Marx, Friedrich Engels; Realism, photography; Workers' rights, revolution; Paper money, gold standard; Communist states; Bourgeois/proletariat classes; Railroad, factory systems;" Evolution, germ theory""";
6;" ""UN Charter"; Established principles for international cooperation, peace; Post-WWII; Eleanor Roosevelt; Abstract expressionism, international style; Universal human rights; US dollar, Bretton Woods system; United Nations; First/second/third worlds; Atomic energy, computers;" Global warming, genetic engineering""";
7;" ""MLK Jr.'s 'I Have a Dream' Speech"; Drove US civil rights progress, ending racial segregation; Postcolonial, Cold War; Martin Luther King, Jr.; Social realism, civil rights photography; Racial equality, democracy; Federal reserve notes; Democratic government; Minorities/working/middle classes; Television, space travel;" Computer science, information age""";
8;" ""Deng Xiaoping's Reforms"; Spurred China's market-economy transformation, modernization; Post-Mao China; Deng Xiaoping; Chinese contemporary art, skyscrapers; Pragmatism, economic efficiency; Renminbi; Socialist market economy; Rural/urban/coastal classes; High-speed rail, e-commerce; Biotechnology, nanotechnology;" Smog, water scarcity"""
9;" ""Kim Dae-jung's Sunshine Policy"; Promoted inter-Korean reconciliation, reducing tensions; Post-Cold War; Kim Dae-jung; Minimalism, digital art; Democracy, human rights; South Korean won; Democratic government; Chaebol, salaried workers; Internet, smartphones; Physics, neuroscience;" Nuclear non-proliferation, cybersecurity""</s>"
