Performing Arts | Theatre | Ballet | Opera | Orchestral Music | Circus | Synchronized Swimming | Jazz | Video | Cinema | Comedy
Pantomime         |           X             |            X             |           X             |           X             |           X             |           X             |           X             |            X             |           X             |           X 
Classical Dance         |           X             |           X             |            X             |           X             |            X             |            X             |            X             |            X             |           X             |            X
Street Performance         |           X             |            X             |            X             |           X             |           X             |           X             |            X             |           X             |            X             |           X
Acrobats         |           X             |            X             |            X             |            X             |           X             |            X             |           X             |           X             |           X             |           X
Magicians         |           X             |            X             |            X             |           X             |            X             |            X             |           X             |           X             |           X             |           X
Musical Theatre         |           X             |            X             |           X             |           X             |            X             |            X             |           X             |           X             |           X             |           X
Musicals         |           X             |            X             |           X             |           X             |            X             |           X             |            X             |            X             |            X             |           X
Juggling         |           X             |            X             |           X             |           X             |            X             |            X             |           X             |           X             |           X             |           X
Clowning         |           X             |           X             |            X             |            X             |            X             |            X             |            X             |            X             |           X             |           X
Poetry         |            X             |            X             |            X             |            X             |           X             |           X             |            X             |            X             |           X             |           X
