;Genetic Disorder; Prevalence Rate; Chromosome Number; Chromosome Location; Symptoms; Expression Pattern; Recessive Alleles Needed; Inheritance Pattern; Gene Symbol; Gene Description; Mutation Type; Mutation Location; Population Frequency; Test Method
0; Cystic Fibrosis; 1 in 2,500; Chromosome 7; 7q31.2; Persistent cough, lung infections, difficulty breathing; Autosomal recessive; 2; 2 copies of recessive allele needed; CFTR; Chloride channel protein; Nonsense mutation; Multiple loci; Common in Caucasian population; Sweat test, genetic testing
1;Huntington's Disease; 1 in 10,000; Chromosome 4; 4p16.3; Uncontrolled movements, emotional problems, loss of thinking ability; Autosomal dominant; 1; 1 copy of dominant allele needed; HTT; Huntingtin protein; CAG repeat expansion; Single locus; Common in Western European population; Genetic testing
2;Sickle Cell Anemia; 1 in 500 (African ancestry); Chromosome 11; 11p15.4; Fatigue, pain crises, frequent infections; Autosomal recessive; 2; 2 copies of recessive allele needed; HBB; Hemoglobin beta; Point mutation; Single locus; Common in African population; Hemoglobin electrophoresis, genetic testing
3;Marfan Syndrome; 1 in 5,000; Chromosome 15; 15q21.1; Long limbs, curved spine, dislocated lens; Autosomal dominant; 1; 1 copy of dominant allele needed; FBN1; Fibrillin-1; Point mutation; Single locus; Common in all populations; Genetic testing
4;Duchenne Muscular Dystrophy; 1 in 3,500 (male); Chromosome X; Xp21.2; Muscle weakness, difficulty walking, shortened lifespan; X-linked recessive; 2; 1 copy of recessive allele needed on X chromosome; DMD; Dystrophin; Deletion or duplication; Single locus; Common in male population; Genetic testing
5;Fragile X Syndrome; 1 in 4,000 (male); Chromosome X; Xq27.3; Intellectual disability, behavioral problems, physical features; X-linked dominant; 1 (with premutation); Varies, often with premutation; FMR1; Fragile X mental retardation 1; Triplet repeat expansion; Single locus; Common in male population; Genetic testing
6;Phenylketonuria (PKU); 1 in 10,000; Chromosome 12; 12q22-q24.1; Intellectual disability, behavioral problems, lighter skin; Autosomal recessive; 2; 2 copies of recessive allele needed; PAH; Phenylalanine hydroxylase; Point mutation; Single locus; Common in Caucasian population; Newborn screening, genetic testing
7;Neurofibromatosis Type 1; 1 in 3,000; Chromosome 17; 17q11.2; Tumors on nerves, skin spots, developmental delays; Autosomal dominant; 1; 1 copy of dominant allele needed; NF1; Neurofibromin; Point mutation; Single locus; Common in all populations; Genetic testing
8;Tuberous Sclerosis Complex; 1 in 6,000; Chromosome 9 or 16; 9q34.3 or 16p13.3; Benign tumors, skin abnormalities, developmental delays; Autosomal dominant; 1; 1 copy of dominant allele needed; TSC1 or TSC2; Hamartin or Tuberin; Point mutation; Single locus; Common in all populations; Genetic testing
9;Velocardiofacial Syndrome; 1 in 2,000; Chromosome 22; 22q11.2; Heart defects, cleft palate, learning disabilities; Autosomal dominant; 1; 1 copy of dominant allele needed; TBX1; T-box transcription factor; Deletion; Single locus; Common in all populations; Genetic testing</s>
10; Marfan Syndrome; 1 in 5,00</s>;;;;;;;;;;;;
