;Camera Make;Camera Model;File Name;Date Taken;Shutter Speed;Aperture Value;Focal Length;ISO;Exposure Compensation;Metering Mode;Light Source
0;  Canon;EOS 5D Mark IV;IMG\_1234;2022-03-01;1/200;f/4;24mm;400;0;Partial;Daylight
1; Nikon;D850;DSC\_5678;2022-02-15;1/1000;f/2.8;70mm;100;-1/3;Matrix;Flash
2; Sony;A7R IV;SONY\_0123;2022-03-10;1/500;f/5.6;100mm;800;0;Center-weighted;Fluorescent
3; Fujifilm;X-T3;FUJ\_4567;2022-02-20;1/125;f/8;35mm;200;+2/3;Spot;Cloudy
4; Panasonic;GH5;PAN\_8901;2022-03-25;1/80;f/11;50mm;1600;-1;Multi-segment;Shade
5; Olympus;OM-D E-M10;OLY\_2345;2022-02-28;1/250;f/6.3;60mm;640;+1/3;Evaluative;Tungsten
6; Pentax;K-1;PENT\_5678;2022-03-05;1/400;f/3.5;28mm;100;0;Center-weighted;Daylight
7; Leica;SL2;LEI\_0123;2022-02-12;1/1600;f/5.6;90mm;400;-1;Partial;Flash
8; Hasselblad;X1D II 50C;HASS\_4567;2022-03-22;1/320;f/8;45mm;200;0;Spot;Cloudy
9; Ricoh;GR III;RIC\_8901;2022-02-27;1/500;f/5.6;28mm;800;-2/3;Multi-segment;Shade</s>
10;  Sony;A7R IV;SON\_2345;2022-03-15;1/125;f/11;55mm;100;0;Center-weighted;Daylight
11; Fujifilm;XT4;FUJ\_6789;2022-02-08;1/500;f/5.6;23mm;200;-1;Pattern;Fluorescent
12; Nikon;Z7 II;NIK\_0123;2022-03-28;1/800;f/8;70mm;400;-2/3;Spot;Cloudy
13; Canon;EOS R6;CAN\_4567;2022-02-19;1/640;f/6.3;85mm;800;0;Partial;Flash
14; Panasonic;S1R;PAN\_8901;2022-03-05;1/160;f/10;35mm;1000;-1;Matrix;Daylight
15; Pentax;K-1 Mark II;PEN\_2345;2022-02-25;1/250;f/5.3;50mm;640;0;Center-weighted;Shade
16; Olympus;OM-D E-M1 Mark III;OLY\_6789;2022-03-20;1/200;f/8;40mm;250;-2/3;Multi-segment;Cloudy
17; Sigma;fp;SIG\_0123;2022-02-10;1/320;f/7.1;24mm;125;0;Partial;Flash
18; Blackmagic;Pocket Cinema Camera 6K;BMD\_4567;2022-03-27;1/1000;f/5.6;50mm;400;-1;Center-weighted;Daylight
19; Hasselblad;X1D II 50C;HASS\_9012;2022-03-18;1/2000;f/11;35mm;200;0;Multi-segment;Cloudy</s>
20;  Canon;EOS R5;CAN\_3456;2022-04-05;1/1600;f/8;100mm;100;0;Evaluative;Daylight
21; Nikon;Z7 II;NIK\_7890;2022-04-12;1/250;f/4.5;24-70mm;400;-1/3;Matrix;Flash
22; Sony;A7R IV;SON\_1357;2022-04-17;1/500;f/6.3;70-200mm;800;0;Spot;Daylight
23; Fujifilm;GFX 100S;FUJ\_2468;2022-04-20;1/1250;f/10;50mm;200;0;Multi-segment;Cloudy
24; Panasonic;Lumix S1R;PAN\_9012;2022-04-25;1/100;f/5.6;45mm;1600;0;Center-weighted;Flash
25; Pentax;645Z;PEN\_3690;2022-04-30;1/200;f/8;28mm;100;0;Partial;Daylight
26; Leica;SL2-S;LEI\_1234;2022-05-04;1/500;f/11;90mm;200;-1/3;Multi-segment;Cloudy
27; Olympus;OM-D E-M1 Mark III;OLY\_5678;2022-05-09;1/1000;f/5.6;60mm;400;0;Evaluative;Daylight
28; Ricoh;Pentax K-1 Mark II;RIC\_9012;2022-05-14;1/320;f/7.1;24mm;100;0;Center-weighted;Flash
29; Samsung;NG-1;SAM\_2345;2022-05-19;1/400;f/5.6;35mm;200;-1/3;Matrix;Daylight</s>
30;  Canon;EOS 5D Mark IV;CAN_6789;2022-05-20;1/640;f/8;50mm;400;0;Partial;Daylight
31; Nikon;D850;NIK_1123;2</s>;;;;;;;
32;  Fujifilm;X-T3;FUJ_3345;2022-05-21;1/500;f/6.4;23mm;200;-1/3;Multi-segment;Daylight
33; Sony;A7 III;SON_7890;2022-05-22;1/800;f/7.1;70mm;400;0;Center-weighted;Daylight
34; Panasonic;GH5;PAN_4563;2022-05-23;1/1000;f/5;50mm;800;-2/3;Spot;Daylight
35; Olympus;OM-D E-M10 Mark IV;OLY_9876;2022-05-24;1/1250;f/5.6;42mm;1000;-1/3;Pattern;Daylight
36; Leica;Q2;LEI_2234;2022-05-25;1/1600;f/6.3;35mm;1250;0;Center-weighted;Daylight
37; Hasselblad;X1D II 50C;HAS_5566;2022-05-26;1/2000;f/8;50mm;1600;-1/3;Multi-segment;Daylight
38; Pentax;K-1 Mark II;PEN_7789;2022-05-27;1/2500;f/9;28mm;2000;0;Center-weighted;Daylight
39; Ricoh;GR III;RIC_3345;2022-05-28;1/3200;f/10;18mm;2500;-1/3;Spot;Daylight
40; Sigma;fp;SIG_6789;2022-05-29;1/4000;f/11;24mm;3200;0;Multi-segment;Daylight
41; Blackmagic;Pocket Cinema Camera 6K;BMD_9876;2022-05-30;1/5000;f/13;35mm;4000;-1/3;Pattern;Daylight</s>
42;  Canon;EOS R5;CAN_1234;2022-05-31;1/2000;f/9;28mm;5000;0;Partial;Daylight
43; Nikon;Z7 II;NIK_5678;2022-06-01;1/1250;f/8;35mm;4000;-2/3;Center-weighted;Daylight
44; Sony;A7R IV;SON_9876;2022-06-02;1/1600;f/10;50mm;3200;-1/3;Matrix;Daylight
45; Fujifilm;GFX 100S;FUJ_4321;2022-06-03;1/1000;f/11;45mm;2000;0;Multi-segment;Daylight
46; Panasonic;Lumix S1R;PAN_5678;2022-06-04;1/800;f/9;70mm;2500;-1/3;Pattern;Daylight
