;Seismic Waves;Reflection Coefficient;Velocity Structure;Layer Thickness;Frequency Bands;Amplitude;Phase;Subsurface Imaging Techniques;Geologic Hazard Assessment;Free Surface Effect;Topographic Corrections;Sea Level Changes
0; S-wave; 0.6; 3.5 km/s; 500 m; 0.1-10 Hz; High; 90 degrees; Seismic Reflection; Landslides; Yes; Necessary; Negligible
1; P-wave; 0.3; 6.0 km/s; 250 m; 1-50 Hz; Low; 0 degrees; Seismic Tomography; Volcanic Eruptions; No; Necessary; Insignificant
2; Love wave; 0.5; 2.8 km/s; 700 m; 0.01-0.1 Hz; Moderate; 45 degrees; Seismic Interferometry; Tsunami Warning; Yes; Minimal; Negligible
3; Rayleigh wave; 0.4; 3.2 km/s; 400 m; 0.5-5 Hz; High; 30 degrees; Seismic Refraction; Soil Liquefaction; Yes; Crucial; Minimal
4; P-wave; 0.8; 5.5 km/s; 1000 m; 0.01-0.1 Hz; Low; 180 degrees; Seismic Reception; Earthquake Early Warning; No; Necessary; Negligible
5; S-wave; 0.7; 4.2 km/s; 800 m; 10-50 Hz; High; 90 degrees; Seismic Migration; Groundwater Contamination; Yes; Necessary; Negligible
6; Love wave; 0.9; 2.2 km/s; 1200 m; 1-10 Hz; Moderate; 45 degrees; Seismic Inversion; Mine Collapse; Yes; Minimal; Negligible
7; Rayleigh wave; 0.6; 3.8 km/s; 350 m; 0.1-1 Hz; High; 30 degrees; Seismic Gather; Flood Prediction; Yes; Necessary; Minimal
8; P-wave; 0.5; 7.0 km/s; 600 m; 50-200 Hz; Low; 180 degrees; Seismic Dispersion; Avalanche Detection; No; Necessary; Insignificant
9; S-wave; 0.8; 4.8 km/s; 900 m; 0.001-0.01 Hz; High; 90 degrees; Seismic Noise; Gas Hydrate Melt; Yes; Crucial; Significant</s>
10;  Love wave; 0.7; 4.2 km/s; 850 m; 0.1-10 Hz; High; 0 degrees; Seismic Interferometry; Landslide Susceptibility; No; Necessary; Minimal
11; Scholte wave; 0.4; 2.0 km/s; 20 m; 1-100 Hz; Moderate; 20 degrees; Seismic Reflection; Tsunami Warning; Yes; Necessary; Minimal
12; Stoneley wave; 0.3; 1.5 km/s; 15 m; 0.01-0.1 Hz; Low; 45 degrees; Seismic Tomography; Soil Liquefaction; Yes; Necessary; Significant
13; Plate boundary wave; 0.9; 8.5 km/s; 1200 m; 0.001-0.1 Hz; High; 120 degrees; Seismic Reconvolution; Earthquake Monitoring; Yes; Imperative; Significant
14; Tidal wave; 0.2; 0.5 km/s; 5 m; 0.0001-0.01 Hz; Low; 60 degrees; Seismic Refraction; Storm Surge Prediction; No; Necessary; Insignificant
15; Interference wave; 0.65; 3.5 km/s; 400 m; 10-50 Hz; High; 45 degrees; Seismic Migration; Volcanic Eruption; Yes; Necessary; Significant
