;Title; Author; Metaphor Usage; Rhyme Scheme; Stanza Count; Word Choice; Emotional Appeal; Literary Devices Used; Theme Development; Imagery and Symbolism; Tone Variation; Rhetorical Questions; Allusions; Syntax Play; Genre Classification; Free Verse?
0;" ""The Road Not Taken"""; Robert Frost; Extensive; None; 4; Descriptive, Concrete; Reflective, Contemplative; Metaphor, Alliteration, Assonance; Progressive, Resolute; Natural Imagery; Variable, Somber; No; American Nature, Life; End-stopped Lines; Lyric; No
1;"""When I Have Fears"""; John Keats; Moderate; ABAB; 4; Poetic, Rich; Passionate, Yearning; Simile, Alliteration, Personification; Intense, Unrequited; Emotional, Lover's; Earnest, Melancholic; Yes; Love, Mortality; Caesura, Enjambment; Romantic; No
2;"""The Love Song of J. Alfred Prufrock"""; T.S. Eliot; Limited; None; Variable; Obscure, Ambiguous; Introspective, Self-conscious; Irony, Imagery, Symbolism; Fragmented, Unsettling; Modernist, Urban; Querying, Uncertain; Yes; Existentialism, Narrative; Stream-of-consciousness; Modernist; Yes
3;"""Ode to a Nightingale"""; John Keats; Profuse; ABCDCDC; 8; Vivid, Sensory; Melancholic, Contemplative; Alliteration, Assonance, Metaphor; Musical, Transient; Romantic, Mortality; Expressive, Musical; Yes; Nature, Beauty, Mortality; Onomatopoeia, Alliteration; Romantic; No
4;"""Annabel Lee"""; Edgar Allan Poe; Abundant; ABAAB; 6; Poetic, Emotive; Grief-stricken, Passionate; Metaphor, Alliteration, Rhyme; Maritime, Romantic; Melancholic, Longing; Yes; Love, Loss; Enjambment; Narrative, Gothic; Melancholic; No
5;"""The Tyger"""; William Blake; Scarce; N/A; 6; Concise, Powerful; Awe, Wonder; Rhetorical Question, Alliteration, Personification; Fearful, Divine; Nature, Power; Inquiring, Sublime; Yes; Nature, Creation; End-stopped Lines, Caesura; Descriptive; No
6;"""The Waste Land"""; T.S. Eliot; Minimal; N/A; Variable; Fragmented, Cryptic; Disconnected, Disillusioned; Allusion, Imagery, Symbolism; Modernist, Urban; Disparate, Cynical; Yes; Disillusionment, Culture, Fragmentation; Stream-of-consciousness; Modernist; Yes;
7;"""Do Not Go Gentle into That Good Night"""; Dylan Thomas; Moderate; ABCBDB; 5; Poetic, Emotive; Defiant, Urgent; Alliteration, Consonance, Assonance; Life, Death; Impassioned, Resolute; Yes; Aging, Mortality; Caesura, Enjambment; Persuasive, Lyrical; Protest Poem; No
8;"""Kubla Khan"""; Samuel Taylor Coleridge; Moderate; XAXA; 5; Vivid, Exotic; Rapturous, Visionary; Metaphor, Personification, Alliteration; Mythical, Exotic; Dream-like, Imaginative; Yes; Creation, Dream, Power; Enjambment; Descriptive; Narrative; No
9;"""The Raven"""; Edgar Allan Poe; None; N/A; 18; Symbolic, Foreboding; Melancholic, Haunting; Alliteration, Personification, Allusion; Mystery, Grief; Dark, Supernatural; Yes; Loss, Grief, Mystery; Caesura, Enjambment; Narrative, Gothic; N/A.</s>;
10;" ""The Love Song of J. Alfred Prufrock"""; T.S. Eliot; Moderate; Varies; 15; Introspective, Melancholic; Fragmented, Queasy; Alliteration, Assonance; Existentialism, Society; Contemplative, Uncertain; Yes; Aging, Self-doubt; Enjambment; Descriptive; Dramatic Monologue; No
11;"""When I Have Fears"""; John Keats; High; ABAB; 4; Passionate, Yearning; Melancholic, Wistful; Alliteration; Love, Mortality; Longing, Despair; No; Love, Death; Caesura, Enjambment; Lyric; Romantic; No
12;"""Ode to a Nightingale"""; John Keats; High; ABCDB; 8; Rapturous, Melancholic; Contemplative, Euphoric; Alliteration, Personification; Nature, Mortality; Worship, Sorrow; Yes; Beauty, Mortality; Caesura, Enjambment; Lyric; Romantic; No
13;"""Ozymandias"""; Percy Bysshe Shelley; None; N/A; 1; Descriptive, Tragic; Powerful, Decayed; Alliteration, Metaphor; Power, Vanity; Arrogance, Ruin; Yes; Power, Time; End-stopped; Narrative; Sonnet; No
14;"""The Tyger"""; William Blake; High; AABB; 4; Provocative, Awe-struck; Mysterious, Divine; Alliteration, Rhyme, Metaphor; Nature, Divinity; Violence, Creation; Yes; Creation, God; End-stopped, Enjambment; Narrative; Prophetic Book; No
15;"""The Road Not Taken"""; Robert Frost; High; ABAAB; 3; Reflective, Pensive; Forward-looking, Regretful; Alliteration; Life, Choice; Regret, Satisfaction; No; Life, Choice; End-stopped; Descriptive; N/A; No
16;"""The Waste Land"""; T.S. Eliot; Moderate; Varies; 32; Disconnected, Disillusioned; Wearisome, Distant; Assonance, Alliteration; Civilization, Myth; Spiritual, Cultural; Yes; Waste, Fragmentation; Caesura, Enjambment; Fragmented, Allusive; Modernist; No
17;"""Ode to the West Wind"""; Percy Bysshe Shelley; High; ABCAB; 5; Powerful, Melancholic; Majestic, Desolate; Alliteration, Assonance, Personification; Nature, Power; Change, Motion; Yes; Nature, Power; Caesura, Enjambment; Lyric; Romantic; No
18;"""My Last Duchess"""; Robert Browning; None; N/A; 12; Menacing, Manipulative; Narcissistic, Power; Alliteration, Caesura, Enjambment; Power, Gender; Possession, Control; Yes; Possession, Deception; End-stopped; Dramatic Monologue; N/A; No
