;Artist Name;Art Form;Year of Birth;Place of Birth;Known For;Started Career;Popular Works;Awards;Total Awards;Active
0; Maria Callas;Opera Singer;1923;New York City, USA;Pioneering soprano;1941;Norma, Tosca, Madama Butterfly;Grammy Lifetime Achievement Award, National Medal of Arts;2;No
1;Alvin Ailey;Dancer, Choreographer;1931;Rogers, Texas, USA;Modern Dance, founded the Alvin Ailey American Dance Theater;1954;Revelations, Blues Suite, Cry;Kennedy Center Honor, Spingarn Medal;4;No
2;Mstislav Rostropovich;Cellist, Conductor;1927;Baku, Azerbaijan SSR;Classical Music, renowned cellist and conductor;1939;Bach Cello Suites, Shostakovich Cello Concertos;Presidential Medal of Freedom, Order of Merit of the Federal Republic of Germany;7;No
3;Judi Dench;Actor;1934;York, England;Stage, Film, and Television Acting;1957;A Room with a View, Shakespeare in Love, Notes on a Scandal;Golden Globe, Academy Award, Tony Award;10;Yes
4;Pablo Picasso;Painter, Sculptor;1881;Málaga, Spain;Cubism;1894;Guernica, The Weeping Woman;Lenin Peace Prize, Presidential Medal of Freedom;5;No
5;Billy Joel;Singer-Songwriter, Pianist;1949;Bronx, New York, USA;Pop Music;1965;Piano Man, New York State of Mind, Scenes from an Italian Restaurant;Grammy Legend Award, Songwriters Hall of Fame;7;Yes
6;B.B. King;Musician, Singer, Songwriter;1925;Indianola, Mississippi, USA;Blues;1946;The Thrill Is Gone, Every Day I Have the Blues, Sweet Little Angel;Presidential Medal of Freedom, Grammy Lifetime Achievement Award;15;No
7;Margot Fonteyn;Ballerina;1919;Reigate, England;Ballet;1934;The Sleeping Beauty, Swan Lake, Giselle;Dame Commander of the Order of the British Empire, Gold Medal of the Royal Academy of Dance;2;No
8;Leonard Bernstein;Composer, Conductor;1918;Lawrence, Massachusetts, USA;Classical Music;1939;West Side Story, Candide, On the Town;Kennedy Center Honors, Presidential Medal of Freedom;9;No
9;Yo-Yo Ma;Cellist;1955;Paris, France;Classical Music;1960;Bach Cello Suites, Brahms Cello Sonatas;Medal of Freedom, National Medal of Arts;18;Yes</s>
10; Mstislav Rostropovich;Cellist;1927;Baku, Azerbaijan SSR;Classical Music;1940;Shostakovich Cello Concertos, Prokofiev Symphony-Concerto;Lenin Prize, National Medal of Arts;12;No
11;Maria Callas;Opera Singer;1923;New York City, New York, USA;Opera;1941;Norma, Tosca, Madama Butterfly;Grammy Lifetime Achievement Award, National Medal of Arts;5;No
12;Judi Dench;Actress;1934;York, England;Theatre, Film;1957;A Midsummer Night's Dream, Shakespeare in Love, Philomena;Dame Commander of the Order of the British Empire, Academy Award;9;Yes
13;Plácido Domingo;Opera Singer;1941;Madrid, Spain;Opera;1959;Otello, La Traviata, Don Carlo;Knight Commander of the Order of the British Empire, Grammy Legend Award;25;Yes
14;Béla Fleck;Banjo Player;1958;New York City, New York, USA;Bluegrass, Jazz;1973;Drive, The Bluegrass Sessions, Throw Down Your Heart;Grammy Awards;15;Yes
15;Glenn Gould;Pianist;1932;Toronto, Canada;Classical Music;1945;Bach Goldberg Variations, Beethoven Piano Sonatas;Grammy Trustees Award, Grammy Lifetime Achievement Award;15;No
16;Grace Jones;Singer, Actress;1948;Spanish Town, Jamaica;Pop, Dance, Disco;1977;Slave to the Rhythm, Pull Up to the Bumper, Nightclubbing;Queen's Birthday Honours;3;Yes
17;Niccolò Paganini;Violinist, Composer;1782;Genoa, Italy;Classical Music;1795;24 Caprices, Violin Concertos;None;0;No
18;Itzhak Perlman;Violinist;1945;Tel Aviv, Israel;Classical Music;1950;Beethoven, Mendelssohn, Brahms Violin Concertos;Presidential Medal of Freedom, Kennedy Center Honors;16;Yes
19;Katharine Hepburn;Actress;1907;Hartford, Connecticut, USA;Film, Theatre;1921;The African Queen, Guess Who's Coming to Dinner, The Lion in Winter;Academy Awards;4;No</s>
20; Meryl Streep;Actress;1949;Summit, New Jersey, USA;Film, Theatre;1975;Sophie's Choice, The Iron Lady, Kramer vs. Kramer;Academy Awards, Emmy Awards, Golden Globe Awards;21;Yes
21;Pablo Picasso;Painter, Sculptor;1881;Málaga, Spain;Cubism;1894;Guernica, Les Demoiselles d'Avignon;Légion d'honneur, Rockefeller Foundation;6;No
22;Johann Sebastian Bach;Composer, Organist;1685;Eisenach, Germany;Baroque Music;1703;Brandenburg Concertos, The Well-Tempered Clavier;None;0;No
23;Marilyn Monroe;Actress, Model;1926;Los Angeles, California, USA;Film;1945;Some Like It Hot, The Misfits, Gentlemen Prefer Blondes;Golden Globe Award;1;No
24;Wolfgang Amadeus Mozart;Composer, Pianist;1756;Salzburg, Austria;Classical Music;1761;Symphonies, Operas (The Marriage of Figaro, Don Giovanni);None;0;No
25;Frida Kahlo;Painter;1907;Coyoacán, Mexico;Surrealism;1922;The Two Fridas, Self-Portrait with Thorn Necklace and Hummingbird;None;0;No
26;Michelangelo Buonarroti;Painter, Sculptor, Architect;1475;Caprese, Italy;Renaissance Art;1488;The Sistine Chapel ceiling, Statue of David;Papal knighthood;1;No
27;Gloria Estefan;Singer, Songwriter;1957;Havana, Cuba;Pop Music;1975;Conga, Get On Your Feet, Rhythm is Gonna Get You;Grammy Awards;7;Yes
28;Luciano Pavarotti;Tenor;1935;Modena, Italy;Opera;1954;Nessun dorma, La bohème;Grammy Awards;16;No
29;Billie Holiday;Jazz Singer, Songwriter;1915;Philadelphia, Pennsylvania, USA;Jazz;1930;Strange Fruit, Lady Sings the Blues;Grammy Lifetime Achievement Award;4;No</s>
30; Beyoncé Knowles-Carter;Singer, Actress;1981;Houston, Texas, USA;R&B, Pop;1997;Crazy in Love, Single Ladies, Formation;Grammy Awards;23;Yes
31;Vincent van Gogh;Painter;1853;Zundert, Netherlands;Post-Impressionism;1877;Starry Night, Sunflowers, The Bedroom;No formal awards;0;No
32;Maya Angelou;Poet, Writer, Civil Rights Activist;1928;St. Louis, Missouri, USA;Poetry, Autobiography;1950;I Know Why the Caged Bird Sings, Still I Rise;NAACP Image Awards, Pulitzer Prize nomination;5;No
33;Michael Jackson;Singer, Songwriter, Dancer;1958;Gary, Indiana, USA;Pop, R&B;1964;Thriller, Billie Jean, Bad;Grammy Awards, Golden Globe Awards, Guinness World Records;13;No
34;Marilyn Monroe;Actress, Model, Singer;1926;Los Angeles, California, USA;Acting, Singing;1946;Gentlemen Prefer Blondes, The Seven Year Itch, Some Like It Hot;Golden Globe Awards;2;No
35;Pablo Picasso;Painter, Sculptor, Printmaker;1881;Málaga, Spain;Cubism;1891;Guernica, Les Demoiselles d'Avignon, The Weeping Woman;No formal awards;0;No
