;"""Country Name""";"""Continent""";"""Area (km2)""";"""Population""";"""Population Density""";"""Capital""";"""Latitude""";"""Longitude""";"""Climate""";"""Terrain""";"""Highest Point""";"""Major Rivers""";"""Major Lakes""";"""Official Language(s)""";"""Internet TLD"""
0;" ""Afghanistan""";"""Asia""";"""652230""";"""37172386""";"""57.01""";"""Kabul""";"""34.5228""";"""69.1761""";"""Arid";" Semi-arid""";"""Mountainous";" Plains""";"""Nowshak (7492 m)""";"""Amu Darya";" Helmand"" ""None"" ""Pashto, Uzbek,Turkmen "" "".af"""
1;"""Brazil""";"""South America""";"""8515767""";"""210147125""";"""24.68""";"""Brasilia""";"""-15.7801""";"""-47.9292""";"""Tropical";" Subtropical""";"""Mixed";" Amazon""";"""Pico da Neblina (3014 m)""";"""Amazon";" Parana"" ""Superior  Maracaibo"" ""Portuguese"" "".br"""
2;"""Canada""";"""North America""";"""9984670""";"""36624199""";"""3.68""";"""Ottawa""";"""51.5085""";"""-104.9700""";"""Arctic";" Continental""";"""Plains";" Mountains""";"""Mount Logan (5959 m)""";"""St. Lawrence";" Mackenzie"" ""Great Bear  Great Slave"" ""English, French"" "".ca"""
3;"""China""";"""Asia""";"""9596961""";"""1411050014""";"""147.65""";"""Beijing""";"""40.0582""";"""116.3883""";"""Temperate";" Tropical""";"""Plateaus";" Mountains""";"""Everest (8848 m)""";"""Yangtze";" Yellow"" ""Poyang  Qinghai"" ""Chinese"" "".cn"""
4;"""Egypt""";"""Africa""";"""1001450""";"""97552649""";"""97.26""";"""Cairo""";"""30.0444""";"""31.2357""";"""Desert";" Mediterranean""";"""Plains";" Delta""";"""Mount Catherine (2629 m)""";"""Nile""";"""None"" ""Arabic"" "".eg"""
5;"""France""";"""Europe""";"""643801""";"""67062062""";"""104.17""";"""Paris""";"""48.8566""";"""2.3522""";"""Temperate""";"""Plains";" Mountains""";"""Mont Blanc (4809 m)""";"""Loire";" Seine""";"""Lac Leman  Lac d'Annecy"" ""French"" "".fr"""
6;"""India""";"""Asia""";"""3287263""";"""1326093228""";"""403.41""";"""New Delhi""";"""28.6139""";"""77.2090""";"""Tropical";" Alpine""";"""Plains";" Mountains""";"""Kanchenjunga (8586 m)""";"""Ganges";" Indus"" ""Wular  Dal"" ""Hindi, English"" "".in"""
7;"""Russia""";"""Europe/Asia""";"""17098242""";"""145934462""";"""8.52""";"""Moscow""";"""55.7558""";"""37.6176""";"""Continental";" Arctic""";"""Plains";" Mountains""";"""Elbrus (5642 m)""";"""Volga";" Ob"" ""Lake Baikal  Ladoga"" ""Russian"" "".ru"""
8;"""United States""";"""North America""";"""9629091""";"""331002651""";"""34.57""";"""Washington D.C.""";"""38.8951""";"""-77.0364""";"""Continental";" Arctic""";"""Plains";" Mountains""";"""Denali (6190 m)""";"""Mississippi";" Colorado"" ""Superior  Michigan"" ""English"" "".us"""
9;"""Australia""";"""Australia""";"""7686850""";"""25499858""";"""3.32""";"""Canberra""";"""-35.2809""";"""149.1300""";"""Desert";" Temperate""";"""Plains";" Mountains""";"""Kosciuszko (2228 m)""";"""Murray";" Darling"" ""Eyre  Torrens"" ""English"" "".au""</s>"
10;" ""Indonesia""";"""Asia""";"""1904569""";"""267026324""";"""140.22""";"""Jakarta""";"""-6.2146""";"""106.8452""";"""Tropical""";"""Archipelago""";"""Puncak Jaya (4884 m)""";"""Borneo";" Amazon""";"""Lake Toba";" Lake Cowan"" ""Indonesian"" "".id"""
11;"""Algeria""";"""Africa""";"""2381741""";"""42249292""";"""17.76""";"""Algiers""";"""36.7529""";"""3.0612""";"""Arid";" Mediterranean""";"""Plains";" Atlas Mountains""";"""Tahat (3003 m)""";""" Chelif";" Tinherhir"" ""None"" ""Arabic"" "".dz"""
12;"""Argentina""";"""South America""";"""2780400""";"""44271041""";"""15.91""";"""Buenos Aires""";"""-34.6037""";"""-58.3816""";"""Temperate";" Arid""";"""Plains";" Mountains""";"""Aconcagua (6962 m)""";"""Parana";" Colorado"" ""Lake Argentino  Lake Viedma"" ""Spanish"" "".ar"""
13;"""Australia""";"""Australia""";"""7692024""";"""25499858""";"""3.32""";"""Canberra""";"""-35.2809""";"""149.1300""";"""Desert";" Temperate""";"""Plains";" Mountains""";"""Mount Kosciuszko (2228 m)""";"""Murray";" Darling"" ""Lake Eyre  Lake Torrens"" ""English"" "".au"""
14;"""Russia""";"""Europe/Asia""";"""17098242""";"""145934462""";"""8.53""";"""Moscow""";"""55.7558""";"""37.6176""";"""Arctic";" Continental""";"""Plains";" Mountains""";"""Elbrus (5642 m)""";"""Volga";" Ob"" ""Lake Baikal  Caspian"" ""Russian"" "".ru"""
15;"""United States""";"""North America""";"""9629091""";"""331002651""";"""34.61""";"""Washington D.C.""";"""38.8951""";"""-77.0364""";"""Arctic";" Continental""";"""Plains";" Mountains""";"""Denali (6190 m)""";"""Mississippi";" Missouri"" ""Great Lakes  Lake Huron"" ""English"" "".us"""
