;`Artwork;Artist;Date Created;Medium;Width;Height;Depth;Period;Style;Subject Matter;Notes`
0;"  ""The Starry Night"; Vincent van Gogh; June 1889; Oil on canvas; 73.7 cm x 92.1 cm; N/A; Post-Impressionism; Dreamlike night sky;" Starry Night was painted in June 1889 during van Gogh's stay at the Saint-Paul-de-Mausole asylum near Saint-Rémy-de-Provence.""";;
1;" ""Mona Lisa"; Leonardo da Vinci; 1503-1506; Oil on poplar panel; 77 cm x 53 cm; N/A; High Renaissance; Portrait of Lisa Gherardini;" Da Vinci' published very little, and most of his works were either lost or destroyed. The Mona Lisa is arguably the most famous painting in the world.""";;
2;" ""The Persistence of Memory"; Salvador Dalí; 1931; Oil on canvas; 24.1 cm x 33 cm; N/A; Surrealism; Melting clocks;" The Persistence of Memory is one of Dalí's most famous works, along with his 1940 painting, Swans Reflecting Elephants.""";;
3;" ""The Last Supper"; Leonardo da Vinci; 1495-1498; Tempera on gesso, pitch, and mastic; 460 cm x 880 cm; N/A; High Renaissance; Scene of the Last Supper;" The Last Supper is a late 15th-century mural painting in Milan, Italy, executed in the refectory of the Convent of Santa Maria delle Grazie.""";;
4;" ""The Scream"; Edvard Munch; 1893; Oil, tempera, and pastel on cardboard; 91 cm x 73.5 cm; N/A; Expressionism;" The agonized face in The Scream has become one of the most iconic images of art, seen as symbolizing the anxiety of the modern person.""";;;
5;" ""Girl with a Pearl Earring"; Johannes Vermeer; c. 1665; Oil on canvas; 44.5 cm × 39 cm; N/A; Baroque; Portrait of a girl;" Girl with a Pearl Earring is one of Vermeer's most famous works and is sometimes referred to as the ""Dutch Mona Lisa"".""";;
6;" ""Guernica"; Pablo Picasso; 1937; Oil on canvas; 349.3 cm × 776.6 cm; N/A; Cubism; Scene of the bombing of Guernica;" Guernica is one of the most moving and powerful anti-war paintings in history.""";;
7;" ""The Night Watch"; Rembrandt; 1642; Oil on canvas; 363 cm × 437 cm; N/A; Dutch Golden Age; Group military portrait;" The Night Watch is one of the most famous Dutch paintings from the period of the Dutch Golden Age.""";;
8;" ""The Arnolfini Portrait"; Jan van Eyck; c. 1434; Oil on oak panel; 82.2 cm × 60 cm; N/A; Early Netherlandish; Double portrait;" The Arnolfini Portrait, also known as The Arnolfini Marriage, is a famous Early Netherlandish painting.""";;
9;" ""Boy with a Basket of Fruit"; Michelangelo; c. 1593-1594; Oil on canvas; 78.5 cm × 60.5 cm; N/A; Mannerism; Portrait of a young man;" Although only a few of Michelangelo's works are known to have survived, this one is considered to be an example of his later works in the Mannerist style.""</s>";;
10;"  ""The School of Athens"; Raphael; 1509-1511; Fresco; 500 cm × 770 cm; N/A; Renaissance; Historical;" The School of Athens is a famous fresco in the Apostolic Palace depicting many of the greatest mathematicians, philosophers and scientists from classical antiquity.""";;
11;" ""The Persistence of Memory"; Salvador Dalí; 1931; Oil on canvas; 24.1 cm × 33 cm; N/A; Surrealism; Landscape with melting clocks;" The Persistence of Memory is one of the most famous paintings by Salvador Dalí and one of the most iconic images of the surrealist movement.""";;
12;" ""The Last Supper"; Leonardo da Vinci; 1495-1498; Tempera on gesso, pitch, and mastic; 460 cm × 880 cm; N/A; Renaissance; Religious;" The Last Supper is a late 15th-century mural painting in Milan, Italy, depicting the scene of the Last Supper from the Gospel of John.""";;
13;" ""Guernica"; Pablo Picasso; 1937; Oil on canvas; 349.3 cm × 776.6 cm; N/A; Cubism; Anti-war;" Guernica is a powerful and emotionally charged painting by Pablo Picasso, created in response to the bombing of the town of Guernica during the Spanish Civil War.""";;
14;" ""The Birth of Venus"; Sandro Botticelli; c. 1485; Tempera on canvas; 172.5 cm × 278.9 cm; N/A; Early Renaissance; Mythological;" The Birth of Venus is a famous painting by Sandro Botticelli, depicting the goddess Venus emerging from the sea as a fully grown woman.""";;
15;" ""The Starry Night"; Vincent van Gogh; 1889; Oil on canvas; 73.7 cm × 92.1 cm; N/A; Post-Impressionism; Landscape with stars;" The Starry Night is one of the most well-known paintings by Vincent van Gogh, depicting a swirling mass of stars over a small village.""";;
16;" ""The Creation of Adam"; Michelangelo; 1512; Fresco; 280 cm × 570 cm; N/A; Renaissance; Religious;" The Creation of Adam is a section of the frescoes on the ceiling of the Sistine Chapel in Vatican City, depicting the creation of Adam by God.""";;
17;" ""The Thinker"; Auguste Rodin; 1904; Bronze; 181 cm × 97 cm × 141 cm; N/A; Modern; Sculpture of a man deep in thought;" The Thinker is a iconic sculpture by Auguste Rodin, depicting a man in contemplation, lost in thought.""";;
