;Language Name; Language Family; Origin; Script; Speakers; Native Speakers; Official Language; Writing System; Grammar; Vocabulary; Syntax; Semantics; Pragmatics; Language Code
0; English; Germanic, West; England; Latin script; 1.5 billion; 379 million; Yes, in many countries; Alphabetical, morphological; Inflected; Rich, mostly Germanic and Latin roots; Subject-Verb-Object; Intricate, context-dependent; Rule-based, meaning negotiation.;
1;Spanish; Romance, Italic; Spain; Latin script; 460 million; 414 million; Yes, in 20 countries; Alphabetical, morphological; Inflected; Rich, Latin and Greek roots; Subject-Verb-Object; Intricate, context-dependent; Rule-based, meaning negotiation.;
2;Mandarin; Sino-Tibetan; China; Chinese characters & Latin script; 1.3 billion; 1.1 billion; Yes, in China, Taiwan and Singapore; Logographic, morphemic; Isolating; Vast, mostly monosyllabic morphemes; Subject-Verb-Object; Intricate, context-dependent; Rule-based, meaning negotiation.;
3;Arabic; Afro-Asiatic, Semitic; Arabian Peninsula; Arabic script (abjad); 422 million; 295 million; Yes, in 26 countries; Abjad, morphological; Inflected; Rich, consonantal roots; Verb-Subject-Object; Intricate, context-dependent; Rule-based, meaning negotiation.;
4;Russian; Slavic, East; Russia; Cyrillic script; 154 million; 110 million; Yes, in Russia, Belarus and Kyrgyzstan; Abugida (cyrillic); Inflected; Rich, fusional morphological structure; Subject-Verb-Object; Intricate, context-dependent; Rule-based, meaning negotiation.;
5;German; Germanic, West; Germany; Latin script; 100 million; 75 million; Yes, in Germany, Austria, Switzerland, Liechtenstein and Luxembourg; Alphabetical, morphological; Inflected; Rich, Germanic roots; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation.;
6;French; Romance, Italic; France; Latin script; 80 million; 66 million; Yes, in France, Quebec (Canada), French Guiana, Martinique, Guadeloupe, Réunion and various African countries; Alphabetical, morphological; Inflected; Rich, Latin and Greek roots; Subject-Verb-Object; Intricate, context-dependent; Rule-based, meaning negotiation.;
7;Hindi; Indo-European, Indo-Iranian, Central zone; India; Devanagari script; 600 million; 370 million; Yes, in India and Fiji; Abugida (devanagari); Inflected; Rich, mostly Sanskrit roots; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation.;
8;Japanese; Japonic; Japan; Hiragana, Katakana and Chinese characters; 128 million; 122 million; Yes, in Japan; Abugida (hiragana, katakana, Chinese characters); Agglutinative; Rich, Chinese and native Japanese roots; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation.;
9;Italian; Romance, Italic; Italy; Latin script; 60 million; 55 million; Yes, in Italy, Switzerland, San Marino, Vatican City and parts of Slovenia and Croatia; Alphabetical, morphological; Inflected; Rich, Latin roots; Subject-Verb-Object; Intricate, context-dependent; Rule-based, meaning negotiation.;
10; Turkish; Turkic, Oghuz; Turkey; Latin script; 88 million; 76 million; Yes, in Turkey, Cyprus, and EU member states; Alphabetical, agglutinative; Inflected; Rich, Altaic roots; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation.;
11;German; Romance, Germano-Balto-Slavic; Germany; Latin script; 132 million; 95 million; Yes, in Germany, Austria, Switzerland, Liechtenstein, Luxembourg, Belgium, and Italy; Alphabetical, morphological; Inflected; Rich, Proto-Germanic roots; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation.;
12;Russian; Romance, Germano-Balto-Slavic; Russia; Cyrillic script; 154 million; 111 million; Yes, in Russia, Belarus, Kazakhstan, Kyrgyzstan, Moldova, and Tajikistan; Alphabetical, morphological; Inflected; Rich, Proto-Slavic roots; Subject-Verb-Object; Intricate, context-dependent; Rule-based, meaning negotiation.;
13;Portuguese; Romance, Italic; Portugal; Latin script; 268 million; 221 million; Yes, in Portugal, Brazil, Cape Verde, Guinea-Bissau, Equatorial Guinea, Angola, Mozambique, São Tomé and Príncipe, East Timor, Macau, and certain territories in India and Indonesia; Alphabetical, morphological; Inflected; Rich, Latin roots; Subject-Verb-Object; Intricate, context-dependent; Rule-based, meaning negotiation.;
14;Chinese (Mandarin); Sino-Tibetan, Sinitic, Mandarin; China; Chinese characters; 1.3 billion; 1.1 billion; Yes, in China, Taiwan, and Singapore; Logographic; Isolating; Rich, Chinese roots; Subject-Verb-Object; Intricate, context-dependent; Rule-based, meaning negotiation.;
15;Korean; Koreanic; Korea; Hangul script; 84 million; 72 million; Yes, in Korea (North and South); Alphabetical, agglutinative; Inflected; Rich, Altaic roots; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation.;
16;French; Romance, Italic; France; Latin script; 80 million; 76 million; Yes, in France, Belgium, Switzerland, Canada, and certain territories in the Americas, Africa, and the Pacific; Alphabetical, morphological; Inflected; Rich, Latin roots; Subject-Verb-Object; Intricate, context-dependent; Rule-based, meaning negotiation.;
17;Spanish; Romance, Italic; Spain; Latin script; 468 million; 427 million; Yes, in Spain, most of Central and South America, Equatorial Guinea, and certain territories in the Americas, Africa, and the Pacific; Alphabetical, morphological; Inflected; Rich, Latin roots; Subject-Verb-Object; Intricate, context-dependent; Rule-based, meaning negotiation.;
18;Arabic; Afro-Asiatic, Semitic, Central; Egypt; Arabic script; 422 million; 315 million; Yes, in Egypt, Algeria, Sudan, Iraq, Morocco, Saudi Arabia, Tunisia, Yemen, Syria, Libya, Jordan, Mauritania, Oman, Kuwait, and United Arab Emirates; Abjadi, morphological; Inflected; Rich, Semitic roots; Verb-Subject-Object; Intricate, context-dependent; Rule-based, meaning negotiation.;
19;Thai; Tai-Kadai; Thailand; Thai script; 61 million; 61 million; Yes, in Thailand; Abugida, morphological; Isolating; Rich, Mon-Khmer roots; Subject-Verb-Object; Intricate, context-dependent; Rule-based, meaning negotiation.;</s>
20; Filipino; Austronesian, Malayo-Polynesian, Central; Philippines; Latin script; 76 million; 45 million; Yes, in Philippines; Alphabetical, morphological; Inflected; Rich, Austronesian roots; Subject-Verb-Object; Intricate, context-dependent; Rule-based, meaning negotiation.;
21;Bengali; Indo-European, Indo-Iranian, Eastern; India; Bengali script; 230 million; 201 million; Yes, in Bangladesh and India; Abugida, morphological; Inflected; Rich, Indo-Aryan roots; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation.;
22;Punjabi; Indo-European, Indo-Iranian, Western; Pakistan; Gurmukhi script (in India), Shahmukhi script (in Pakistan); 138 million; 102 million; Yes, in Pakistan and India; Abugida, morphological; Inflected; Rich, Indo-Aryan roots; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation.;
23;Japanese; Japonic, Ryukyuan; Japan; Hiragana, Katakana, and Kanji scripts; 128 million; 122 million; Yes, in Japan; Syllabic, logographic, morphographic; Agglutinative; Rich, Japanese roots; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation.;
24;Javanese; Austronesian, Malayo-Polynesian, Southeast Barrier; Indonesia; Javanese script, Latin script; 84 million; 76 million; No; Abugida, morphological; Isolating; Rich, Austronesian roots; Subject-Verb-Object; Intricate, context-dependent; Rule-based, meaning negotiation.;
25;Korean; Koreanic, Korean; South Korea, North Korea; Hanja, Hangul scripts; 77 million; 72 million; Yes, in South Korea and North Korea; Morpheme, syllabic; Agglutinative; Rich, Koreanic roots; Subject-Object-Verb; Intricate, context-dependent; Rule-based, meaning negotiation.;
