;Study Area ID; Date & Time Stamp; Weather Condition; Temperature (°C); Relative Humidity (%); Atmospheric Pressure (hPa); Wind Speed (m/s); Precipitation (mm); Solar Radiation (W/m²); Soil Moisture (%)
0; 001; 2022-03-01 06:00:00; Cloudy; 10; 80; 1013; 2; 0; 200; 45
1;002; 2022-03-01 12:00:00; Rainy; 12; 85; 1009; 5; 5.2; 100; 48
2;003; 2022-03-01 18:00:00; Partly Cloudy; 8; 75; 1015; 7; 0; 300; 42
3;004; 2022-03-02 00:00:00; Clear; 2; 60; 1020; 10; 0; 500; 35
4;005; 2022-03-02 06:00:00; Foggy; 3; 95; 1018; 1; 0; 80; 38
5;006; 2022-03-02 12:00:00; Sunny; 15; 40; 1005; 6; 8; 0; 600
6;007; 2022-03-02 18:00:00; Thunderstorm; 18; 55; 998; 12; 1.5; 2.5; 550
7;008; 2022-03-03 00:00:00; Snowy; -2; 80; 1012; 5; 15; 20; 30
8;009; 2022-03-03 06:00:00; Windy; 5; 70; 1010; 20; 0; 0; 150
9;010; 2022-03-03 12:00:00; Hail; 7; 65; 1017; 15; 0.8; 0; 250</s>
10; 011; 2022-03-03 18:00:00; Rainy; 12; 50; 1013; 10; 5; 50; 20
11;012; 2022-03-04 00:00:00; Clear; -5; 40; 1015; 2; 0; 200; 35
12;013; 2022-03-04 06:00:00; Foggy; 0; 95; 1014; 3; 0; 5; 100
13;014; 2022-03-04 12:00:00; Cloudy; 4; 85; 1016; 8; 0; 10; 150
14;015; 2022-03-04 18:00:00; Sunny; 10; 45; 1018; 12; 0; 0; 300
15;016; 2022-03-05 00:00:00; Light Rain; 6; 60; 1017; 4; 2; 8; 10
16;017; 2022-03-05 06:00:00; Partly Cloudy; 8; 70; 1019; 7; 0; 0; 200
17;018; 2022-03-05 12:00:00; Thunderstorm; 15; 55; 1013; 18; 0; 15; 50
18;019; 2022-03-05 18:00:00; Showers; 11; 60; 1014; 9; 0; 7; 100
19;020; 2022-03-06 00:00:00; Heavy Rain; 13; 80; 1012; 6; 0; 25; 20</s>
20; 021; 2022-03-06 06:00:00; Light Rain; 12; 85; 1011; 5; 5; 12; 22
21;022; 2022-03-06 12:00:00; Partly Cloudy; 14; 60; 1013; 12; 0; 0; 500
22;023; 2022-03-06 18:00:00; Clear Skies; 16; 40; 1014; 20; 0; 0; 800
23;024; 2022-03-07 00:00:00; Heavy Snow; -2; 90; 1012; 8; 0; 10; 10
24;025; 2022-03-07 06:00:00; Sleet; 0; 95; 1011; 10; 2; 8; 15
25;026; 2022-03-07 12:00:00; Freezing Rain; 1; 100; 1013; 7; 0; 5; 5
26;027; 2022-03-07 18:00:00; Overcast; 3; 80; 1014; 4; 0; 0; 300
27;028; 2022-03-08 00:00:00; Drizzle; 2; 85; 1012; 6; 0; 1; 20
28;029; 2022-03-08 06:00:00; Fog; 4; 90; 1011; 3; 0; 0; 0
29;030; 2022-03-08 12:00:00; Hail; 0; 70; 1013; 15; 0; 0; 0</s>
30; 031; 2022-03-08 18:00:00; Clear; 7; 50; 1014; 8; 0; 200; 15
31;032; 2022-03-09 00:00:00; Light Rain; 5; 80; 1011; 4; 1; 5; 22
32;033; 2022-03-09 06:00:00; Overcast; 8; 95; 1012; 2; 0; 0; 5
33;034; 2022-03-09 12:00:00; Thunderstorm; 12; 60; 1009; 12; 5; 0; 0
34;035; 2022-03-09 18:00:00; Heavy Rain; 15; 75; 1008; 9; 10; 25; 18
35;036; 2022-03-10 00:00:00; Light Snow; -1; 88; 1013; 3; 0; 0; 2
36;037; 2022-03-10 06:00:00; Sleet; -2; 90; 1015; 5; 0; 1; 0
37;038; 2022-03-10 12:00:00; Partly Cloudy; 3; 65; 1017; 7; 0; 0; 150
38;039; 2022-03-10 18:00:00; Cloudy; 5; 55; 1016; 3; 0; 0; 5
39;040; 2022-03-11 00:00:00; Freezing Drizzle; -3; 80; 1020; 4; 0; 0; 0</s>
40; 041; 2022-03-11 06:00:00; Light Rain; 2; 85; 1019; 2; 1; 0; 150
41;042; 2022-03-11 12:00:00; Overcast; 4; 70; 1018; 5; 0; 0; 0
42;043; 2022-03-11 18:00:00; Clear; 8; 30; 1015; 8; 0; 0; 300
43;044; 2022-03-12 00:00:00; Partly Cloudy; 6; 50; 1016; 3; 0; 0; 50
44;045; 2022-03-12 06:00:00; Heavy Rain; 12; 90; 1013; 12; 5; 20; 200
45;046; 2022-03-12 12:00:00; Thunderstorm; 15; 75; 1011; 15; 7; 0; 100
46;047; 2022-03-12 18:00:00; Light Snow; -1; 60; 1015; 6; 1; 0; 0
47;048; 2022-03-13 00:00:00; Sleet; -3; 70; 1017; 8; 2; 0; 0
48;049; 2022-03-13 06:00:00; Freezing Fog; -5; 95; 1020; 2; 0; 0; 0
49;050; 2022-03-13 12:00:00; Rain Shower; 10; 80; 1015; 10; 3; 1; 100</s>
50; 051; 2022-03-13 18:00:00; Partly Cloudy; 8; 60; 1013; 5; 0; 200; 80
51;052; 2022-03-14 00:00:00; Light Snow; -2; 85; 1018; 7; 1; 0; 0
52;053; 2022-03-14 06:00:00; Overcast; -1; 90; 1015; 3; 0; 0; 50
53;054; 2022-03-14 12:00:00; Heavy Rain; 5; 80; 1010; 12; 5; 20; 50
54;055; 2022-03-14 18:00:00; Clear Skies; 12; 40; 1008; 6; 0; 0; 250
55;056; 2022-03-15 00:00:00; Sleet; 8; 75; 1012; 9; 3; 2; 0
56;057; 2022-03-15 06:00:00; Freezing Fog; 5; 90; 1015; 2; 0; 0; 0
57;058; 2022-03-15 12:00:00; Rain Shower; 13; 70; 1010; 11; 4; 1; 100
58;059; 2022-03-15 18:00:00; Partly Cloudy; 15; 55; 1005; 7; 5; 200; 70
59;060; 2022-03-16 00:00:00; Light Snow; 10; 80; 1010; 8; 2; 1; 0</s>
60; 061; 2022-03-16 06:00:00; Clear Skies; 8; 60; 1015; 6; 0; 300; 65
61;062; 2022-03-16 12:00:00; Heavy Rain; 12; 90; 995; 15; 15; 30; 90
62;063; 2022-03-16 18:00:00; Thunderstorm; 14; 75; 1000; 10; 25; 5; 85
63;064; 2022-03-17 00:00:00; Light Rain; 11; 85; 1005; 5; 12; 2; 80
64;065; 2022-03-17 06:00:00; Partly Cloudy; 13; 65; 1012; 4; 8; 250; 75
65;066; 2022-03-17 12:00:00; Rain Shower; 16; 50; 998; 12; 14; 7; 88
66;067; 2022-03-17 18:00:00; Heavy Snow; 2; 95; 1015; 7; 5; 0; 92
67;068; 2022-03-18 00:00:00; Clear Skies; -1; 40; 1020; 3; 6; 350; 70
68;069; 2022-03-18 06:00:00; Light Rain; 5; 70; 1010; 9; 10; 10; 75
69;070; 2022-03-18 12:00:00; Partly Cloudy; 10; 60; 1005; 8; 5; 200; 60</s>
70; 071; 2022-03-18 18:00:00; Heavy Rain; 12; 80; 998; 12; 25; 5; 78
71;072; 2022-03-19 00:00:00; Clear Skies; -2; 35; 1019; 4; 6; 3; 360
72;073; 2022-03-19 06:00:00; Light Rain; 3; 60; 1015; 7; 11; 8; 72
73;074; 2022-03-19 12:00:00; Partly Cloudy; 8; 55; 1010; 6; 4; 180; 65
74;075; 2022-03-19 18:00:00; Heavy Rain; 14; 85; 1002; 15; 28; 2; 70
75;076; 2022-03-20 00:00:00; Clear Skies; -5; 25; 1025; 2; 7; 4; 380
76;077; 2022-03-20 06:00:00; Light Rain; 0; 50; 1020; 5; 9; 9; 76
77;078; 2022-03-20 12:00:00; Partly Cloudy; 7; 45; 1015; 7; 3; 170; 68
78;079; 2022-03-20 18:00:00; Heavy Rain; 15; 90; 1008; 18; 30; 0; 74
79;080; 2022-03-21 00:00:00; Clear Skies; -8; 15; 1030; 1; 8; 5; 390</s>
80; 081; 2022-03-21 06:00:00; Light Rain; 2; 75; 1012; 9; 12; 250; 72
81;082; 2022-03-21 12:00:00; Partly Cloudy; 10; 50; 1015; 11; 2; 0; 280
82;083; 2022-03-21 18:01:00; Clear Skies; 13; 30; 1020; 15; 23; 0; 550
83;084; 2022-03-22 00:00:00; Heavy Rain; 10; 85; 1010; 18; 28; 25; 140
84;085; 2022-03-22 06:00:00; Light Rain; 7; 65; 1015; 12; 10; 12; 255
