;TypeOfPlant; ScientificName; PlantedOn; SoilPh; WateringFrequency; LightRequirement; PruningInstructions; GrowthHabit; PestsAndDiseases; YieldPerPlant; SunExposure; HardinessZone; CommonName
0;  TypeOfPlant: Annual; ScientificName: Helianthus annuus; PlantedOn: 04/15/2022; SoilPh: 6.0-7.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Pinch back for bushier plants; GrowthHabit: Upright; PestsAndDiseases: Aphids, Powdery Mildew; YieldPerPlant: 1-2 lbs; SunExposure: Full Sun; HardinessZone: 2-11; CommonName: Sunflower
1; TypeOfPlant: Perennial; ScientificName: Paeonia lactiflora; PlantedOn: 05/01/2021; SoilPh: 6.0-7.0; WateringFrequency: Twice a week; LightRequirement: Full Sun; PruningInstructions: Deadhead spent flowers; GrowthHabit: Clump-forming; PestsAndDiseases: Botrytis Blight, Root Rot; YieldPerPlant: 3-5 flowers; SunExposure: Full Sun; HardinessZone: 3-8; CommonName: Peony
2; TypeOfPlant: Vegetable; ScientificName: Solanum lycopersicum; PlantedOn: 03/20/2022; SoilPh: 6.0-6.8; WateringFrequency: Daily; LightRequirement: Full Sun; PruningInstructions: Pinch off suckers; GrowthHabit: Indeterminate; PestsAndDiseases: Whiteflies, Tomato Hornworms; YieldPerPlant: 10-15 lbs; SunExposure: Full Sun; HardinessZone: 5-14; CommonName: Tomato
3; TypeOfPlant: Herb; ScientificName: Salvia officinalis; PlantedOn: 03/05/2022; SoilPh: 6.0-7.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Prune regularly for bushiness; GrowthHabit: Shrubby; PestsAndDiseases: Leaf Spot, Root Rot; YieldPerPlant: 1/2 cup leaves; SunExposure: Full Sun; HardinessZone: 4-10; CommonName: Sage
4; TypeOfPlant: Fruit; ScientificName: Malus domestica; PlantedOn: 02/10/2021; SoilPh: 6.0-6.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Prune for structure and fruit production; GrowthHabit: Tree; PestsAndDiseases: Apple Scab, Codling Moths; YieldPerPlant: 50-100 lbs; SunExposure: Full Sun; HardinessZone: 3-8; CommonName: Apple
5; TypeOfPlant: Flower; ScientificName: Dahlia variabilis; PlantedOn: 05/10/2022; SoilPh: 6.0-7.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Cut back for reblooming; GrowthHabit: Tuberous; PestsAndDiseases: Powdery Mildew, Thrips; YieldPerPlant: 10-15 flowers; SunExposure: Full Sun; HardinessZone: 7-11; CommonName: Dahlia
6; TypeOfPlant: Shrub; ScientificName: Forsythia intermedia; PlantedOn: 10/15/2021; SoilPh: 6.0-6.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Prune after flowering; GrowthHabit: Shrub; PestsAndDiseases: Rust, Scale Insects; YieldPerPlant: N/A; SunExposure: Full Sun; HardinessZone: 4-8; CommonName: Forsythia
7; TypeOfPlant: Tree; ScientificName: Quercus robur; PlantedOn: 10/01/2021; SoilPh: 4.5-7.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Prune to maintain shape; GrowthHabit: Tree; PestsAndDiseases: Acorn Weevils, Leaf Spot; YieldPerPlant: N/A; SunExposure: Full Sun; HardinessZone: 5-9; CommonName: English Oak
8; TypeOfPlant: Cactus; ScientificName: Opuntia engelmannii; PlantedOn: 04/01/2022; SoilPh: 6.5-8.0; WateringFrequency: Once a month; LightRequirement: Full Sun; PruningInstructions: Prune for shaping; GrowthHabit: Spreading; PestsAndDiseases: Cochineal Insects, Root Rot; YieldPerPlant: N/A; SunExposure: Full Sun; HardinessZone: 5-10; CommonName: Prickly Pear
9; TypeOfPlant: Bulb; ScientificName: Lilium candidum; PlantedOn: 11/01/2021; SoilPh: 6.0-7.0; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Remove spent flowers; GrowthHabit: Upright; PestsAndDiseases: Red Lily Beetle, Botrytis Blight; YieldPerPlant: 2-3 flowers; SunExposure: Full Sun; HardinessZone: 4-9; CommonName: White Lily</s>
10;  TypeOfPlant: Vegetable; ScientificName: Solanum lycopersicum; PlantedOn: 05/01/2022; SoilPh: 6.0-6.8; WateringFrequency: Twice a week; LightRequirement: Full Sun; PruningInstructions: Pinch off suckers; GrowthHabit: Vine; PestsAndDiseases: Whiteflies, Early Blight; YieldPerPlant: 10-15 tomatoes; SunExposure: Full Sun; HardinessZone: 5-10; CommonName: Tomato
11; TypeOfPlant: Annual; ScientificName: Helianthus annuus; PlantedOn: 06/01/2022; SoilPh: 6.0-7.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: None; GrowthHabit: Upright; PestsAndDiseases: Aphids, Powdery Mildew; YieldPerPlant: 1-2 heads; SunExposure: Full Sun; HardinessZone: 2-11; CommonName: Sunflower
12; TypeOfPlant: Herb; ScientificName: Salvia officinalis; PlantedOn: 03/01/2022; SoilPh: 6.0-7.0; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Trim after flowering; GrowthHabit: Shrub; PestsAndDiseases: Leafhoppers, Root Rot; YieldPerPlant: 0.2 kg; SunExposure: Full Sun; HardinessZone: 4-10; CommonName: Sage
13; TypeOfPlant: Tree; ScientificName: Malus pumila; PlantedOn: 02/01/2022; SoilPh: 6.0-6.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Remove dead wood; GrowthHabit: Tree; PestsAndDiseases: Codling Moth, Fire Blight; YieldPerPlant: 4-8 apples; SunExposure: Full Sun; HardinessZone: 3-8; CommonName: Apple Tree
14; TypeOfPlant: Perennial; ScientificName: Paeonia lactiflora; PlantedOn: 09/01/2021; SoilPh: 6.0-7.0; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Remove dead flowers; GrowthHabit: Herbaceous; PestsAndDiseases: Botrytis, Powdery Mildew; YieldPerPlant: 5-8 flowers; SunExposure: Full Sun; HardinessZone: 3-9; CommonName: Peony
15; TypeOfPlant: Vegetable; ScientificName: Brassica oleracea; PlantedOn: 06/01/2022; SoilPh: 6.0-7.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: None; GrowthHabit: Biennial; PestsAndDiseases: Cabbage worm, Clubroot; YieldPerPlant: 3-4 heads; SunExposure: Full Sun; HardinessZone: 2-11; CommonName: Cabbage
16; TypeOfPlant: Fruit; ScientificName: Vitis vinifera; PlantedOn: 01/01/2022; SoilPh: 5.5-7.5; WateringFrequency: Twice a week; LightRequirement: Full Sun; PruningInstructions: Prune in winter; GrowthHabit: Vine; PestsAndDiseases: Grape Phylloxera, Black Rot; YieldPerPlant: 10-20 kg; SunExposure: Full Sun; HardinessZone: 7-10; CommonName: Grapes
17; TypeOfPlant: Herb; ScientificName: Rosmarinus officinalis; PlantedOn: 04/01/2022; SoilPh: 6.0-8.0; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Prune for shaping; GrowthHabit: Shrub; PestsAndDiseases: Aphids, Root Rot; YieldPerPlant: 0.2 kg; SunExposure: Full Sun; HardinessZone: 8-10; CommonName: Rosemary
18; TypeOfPlant: Flower; ScientificName: Dahlia pinnata; PlantedOn: 07/01/2022; SoilPh: 6.0-7.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Deadhead spent flowers; GrowthHabit: Tuberous; PestsAndDiseases: Aphids, Slugs; YieldPerPlant: 5-15 flowers; SunExposure: Full Sun; HardinessZone: 8-11; CommonName: Dahlia</s>
19;  TypeOfPlant: Vegetable; ScientificName: Solanum lycopersicum; PlantedOn: 03/01/2</s>;;;;;;;;;;
20;  TypeOfPlant: Herb; ScientificName: Origanum vulgare; PlantedOn: 04/15/2022; SoilPh: 6.0-8.0; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Prune for shaping; GrowthHabit: Perennial herb; PestsAndDiseases: None significant; YieldPerPlant: 0.1 kg; SunExposure: Full Sun; HardinessZone: 5-10; CommonName: Oregano
21; TypeOfPlant: Flower; ScientificName: Tagetes erecta; PlantedOn: 06/01/2022; SoilPh: 6.0-7.5; WateringFrequency: Twice a week; LightRequirement: Full Sun; PruningInstructions: Deadhead spent flowers; GrowthHabit: Annual; PestsAndDiseases: None significant; YieldPerPlant: 10-15 flowers; SunExposure: Full Sun; HardinessZone: 2-11; CommonName: African Marigold
22; TypeOfPlant: Vegetable; ScientificName: Brassica oleracea; PlantedOn: 05/01/2022; SoilPh: 6.5-7.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Remove yellowing leaves; GrowthHabit: Biennial; PestsAndDiseases: Cabbage worm, Downy mildew; YieldPerPlant: 2-3 kg; SunExposure: Full Sun; HardinessZone: 2-10; CommonName: Cabbage
23; TypeOfPlant: Herb; ScientificName: Thymus vulgaris; PlantedOn: 04/01/2022; SoilPh: 6.0-8.0; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Prune for shaping and rejuvenation; GrowthHabit: Shrub; PestsAndDiseases: None significant; YieldPerPlant: 0.1 kg; SunExposure: Full Sun; HardinessZone: 5-10; CommonName: Thyme
24; TypeOfPlant: Flower; ScientificName: Iris germanica; PlantedOn: 09/01/2022; SoilPh: 6.0-7.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Remove spent flowers; GrowthHabit: Perennial; PestsAndDiseases: Thrips, Crown rot; YieldPerPlant: 3-4 flowers; SunExposure: Full Sun; HardinessZone: 4-9; CommonName: German Iris
25; TypeOfPlant: Vegetable; ScientificName: Beta vulgaris; PlantedOn: 04/15/2022; SoilPh: 6.0-7.0; WateringFrequency: Twice a week; LightRequirement: Full Sun; PruningInstructions: Remove yellowing leaves; GrowthHabit: Biennial; PestsAndDiseases: Leafminers, Cercospora leaf spot; YieldPerPlant: 1.5-2 kg; SunExposure: Full Sun; HardinessZone: 5-10; CommonName: Beet
26; TypeOfPlant: Herb; ScientificName: Salvia officinalis; PlantedOn: 04/01/2022; SoilPh: 6.0-8.0; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Prune for shaping; GrowthHabit: Shrub; PestsAndDiseases: Leafhoppers, Powdery mildew; YieldPerPlant: 0.15 kg; SunExposure: Full Sun; HardinessZone: 4-10; CommonName: Sage
27; TypeOfPlant: Flower; ScientificName: Peony lactiflora; PlantedOn: 10/01/2021; SoilPh: 6.5-7.0; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Deadhead spent blooms; GrowthHabit: Perennial; PestsAndDiseases: Botrytis blight, Powdery mildew; YieldPerPlant: 2-3 flowers; SunExposure: Full/Partial Sun; HardinessZone: 3-8; CommonName: Japanese Peony
28; TypeOfPlant: Vegetable; ScientificName: Cucumis sativus; PlantedOn: 04/01/2022; SoilPh: 6.0-7.0; WateringFrequency: Daily; LightRequirement: Full Sun; PruningInstructions: Pinch off male flowers; GrowthHabit: Vine; PestsAndDiseases: Cucumber beetles, Powdery mildew; YieldPerPlant: 2-4 kg; SunExposure: Full Sun; HardinessZone: 3-11; CommonName: Cucumber
29; TypeOfPlant: Herb; ScientificName: Allium sativum; PlantedOn: 10/01/2021; SoilPh: 6.0-7.0; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Remove flower stalks; GrowthHabit: Bulb; PestsAndDiseases: Nematodes, White rot; YieldPerPlant: 0.2-0.5 kg; SunExposure: Full Sun; HardinessZone: 4-9; CommonName: Garlic</s>
30;  TypeOfPlant: Fruit; ScientificName: Malus domestica; PlantedOn: 02/01/2022; SoilPh: 6.0-6.5; WateringFrequency: Twice a week; LightRequirement: Full Sun; PruningInstructions: Prune after flowering; GrowthHabit: Tree; PestsAndDiseases: Apple scab, Codling moth; YieldPerPlant: 10-20 kg; SunExposure: Full Sun; HardinessZone: 3-8; CommonName: Apple
31; TypeOfPlant: Flower; ScientificName: Dahlia variabilis; PlantedOn: 05/01/2022; SoilPh: 6.0-7.0; WateringFrequency: Twice a week; LightRequirement: Full Sun; PruningInstructions: Deadhead flowers; GrowthHabit: Perennial; PestsAndDiseases: Powdery mildew, Botrytis; YieldPerPlant: 5-10 flowers; SunExposure: Full Sun; HardinessZone: 8-11; CommonName: Dahlia
32; TypeOfPlant: Vegetable; ScientificName: Solanum lycopersicum; PlantedOn: 03/01/2022; SoilPh: 6.0-6.8; WateringFrequency: Daily; LightRequirement: Full Sun; PruningInstructions: Pinch off lower leaves; GrowthHabit: Vine; PestsAndDiseases: Tomato hornworm, Early blight; YieldPerPlant: 5-10 kg; SunExposure: Full Sun; HardinessZone: 5-10; CommonName: Tomato
33; TypeOfPlant: Herb; ScientificName: Salvia officinalis; PlantedOn: 11/01/2021; SoilPh: 6.0-7.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Trim after flowering; GrowthHabit: Shrub; PestsAndDiseases: Aphids, Powdery mildew; YieldPerPlant: 0.1-0.3 kg; SunExposure: Full Sun; HardinessZone: 4-10; CommonName: Sage
34; TypeOfPlant: Flower; ScientificName: Iris germanica; PlantedOn: 08/01/2022; SoilPh: 6.0-7.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Deadhead flowers; GrowthHabit: Perennial; PestsAndDiseases: Iris borer, bacterial soft rot; YieldPerPlant: 3-5 flowers; SunExposure: Full Sun; HardinessZone: 4-9; CommonName: German Iris
35; TypeOfPlant: Vegetable; ScientificName: Brassica oleracea var. capitata; PlantedOn: 06/01/2022; SoilPh: 6.0-7.0; WateringFrequency: Twice a week; LightRequirement: Full Sun; PruningInstructions: Remove lower leaves; GrowthHabit: Biennial; PestsAndDiseases: Cabbage worm, Clubroot; YieldPerPlant: 2-3 kg; SunExposure: Full Sun; HardinessZone: 1-9; CommonName: Cabbage
36; TypeOfPlant: Herb; ScientificName: Mentha spicata; PlantedOn: 09/01/2021; SoilPh: 6.0-7.0; WateringFrequency: Daily; LightRequirement: Partial Shade; PruningInstructions: Trim after flowering; GrowthHabit: Perennial; PestsAndDiseases: Aphids, Rust; YieldPerPlant: 0.2-0.4 kg; SunExposure: Partial Shade; HardinessZone: 3-8; CommonName: Spearmint
37; TypeOfPlant: Fruit; ScientificName: Vitis vinifera; PlantedOn: 01/01/2022; SoilPh: 6.0-7.0; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Prune in winter; GrowthHabit: Vine; PestsAndDiseases: Powdery mildew, Black rot; YieldPerPlant: 10-20 kg; SunExposure: Full Sun; HardinessZone: 6-10; CommonName: Grape
38; TypeOfPlant: Flower; ScientificName: Paeonia lactiflora; PlantedOn: 11/01/2021; SoilPh: 6.5-7.0; WateringFrequency: Twice a week; LightRequirement: Full Sun; PruningInstructions: Remove dead foliage; GrowthHabit: Perennial; PestsAndDiseases: Botrytis blight, Phytophthora; YieldPerPlant: 2-3 flowers; SunExposure: Full Sun; HardinessZone: 3-9; CommonName: Peony
39; TypeOfPlant: Vegetable; ScientificName: Beta vulgaris; PlantedOn: 05/01/2022; SoilPh: 6.0-7.5; WateringFrequency: Twice a week; LightRequirement: Full Sun; PruningInstructions: Trim leaves; GrowthHabit: Biennial; PestsAndDiseases: Leaf miners, Cercospora; YieldPerPlant: 1-2 kg; SunExposure: Full Sun; HardinessZone: 5-10; CommonName: Beet</s>
40;  TypeOfPlant: Fruit; ScientificName: Malus domestica; PlantedOn: 02/01/2022; SoilPh: 6.0-6.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Prune in winter; GrowthHabit: Tree; PestsAndDiseases: Apple scab, Fireblight; YieldPerPlant: 30-50 kg; SunExposure: Full Sun; HardinessZone: 3-8; CommonName: Apple
41; TypeOfPlant: Vegetable; ScientificName: Solanum lycopersicum; PlantedOn: 03/01/2022; SoilPh: 6.0-6.8; WateringFrequency: Three times a week; LightRequirement: Full Sun; PruningInstructions: Pinch off suckers; GrowthHabit: Annual; PestsAndDiseases: Tomato hornworm, Early blight; YieldPerPlant: 10-20 kg; SunExposure: Full Sun; HardinessZone: 5-10; CommonName: Tomato
42; TypeOfPlant: Flower; ScientificName: Iris germanica; PlantedOn: 12/01/2021; SoilPh: 6.0-7.0; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Divide every 3-4 years; GrowthHabit: Perennial; PestsAndDiseases: Iris borers, Mosaic virus; YieldPerPlant: 6-8 flowers; SunExposure: Full Sun; HardinessZone: 4-9; CommonName: German Iris
43; TypeOfPlant: Fruit; ScientificName: Prunus avium; PlantedOn: 01/02/2022; SoilPh: 6.0-6.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Prune in summer; GrowthHabit: Tree; PestsAndDiseases: Brown rot, Cherry leaf spot; YieldPerPlant: 20-30 kg; SunExposure: Full Sun; HardinessZone: 5-8; CommonName: Sweet Cherry
44; TypeOfPlant: Vegetable; ScientificName: Cucurbita pepo; PlantedOn: 06/01/2022; SoilPh: 6.0-6.5; WateringFrequency: Twice a week; LightRequirement: Full Sun; PruningInstructions: Pinch back to two leaves; GrowthHabit: Annual; PestsAndDiseases: Powdery mildew, Cucumber beetle; YieldPerPlant: 5-10 kg; SunExposure: Full Sun; HardinessZone: 5-10; CommonName: Zucchini
45; TypeOfPlant: Flower; ScientificName: Dahlia variabilis; PlantedOn: 09/01/2021; SoilPh: 6.5-7.0; WateringFrequency: Twice a week; LightRequirement: Full Sun; PruningInstructions: Deadhead to encourage blooming; GrowthHabit: Perennial; PestsAndDiseases: Botrytis, Aphids; YieldPerPlant: 10-15 flowers; SunExposure: Full Sun; HardinessZone: 8-11; CommonName: Dahlia
46; TypeOfPlant: Fruit; ScientificName: Citrus sinensis; PlantedOn: 02/02/2022; SoilPh: 6.0-7.0; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Prune in spring; GrowthHabit: Shrub; PestsAndDiseases: Citrus canker, Greasy spot; YieldPerPlant: 20-30 oranges; SunExposure: Full Sun; HardinessZone: 9-11; CommonName: Orange
47; TypeOfPlant: Vegetable; ScientificName: Spinacia oleracea; PlantedOn: 04/01/2022; SoilPh: 6.5-7.5; WateringFrequency: Twice a week; LightRequirement: Full Sun; PruningInstructions: Trim off yellow leaves; GrowthHabit: Annual; PestsAndDiseases: Aphids, Downy mildew; YieldPerPlant: 0.5-1 kg; SunExposure: Full Sun; HardinessZone: 4-11; CommonName: Spinach
48; TypeOfPlant: Flower; ScientificName: Rosa hybrida; PlantedOn: 11/02/2021; SoilPh: 6.0-6.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Prune in spring; GrowthHabit: Shrub; PestsAndDiseases: Black spot, Powdery mildew; YieldPerPlant: 15-20 flowers; SunExposure: Full Sun; HardinessZone: 4-11; CommonName: Rose
49; TypeOfPlant: Fruit; ScientificName: Rubus idaeus; PlantedOn: 03/03/2022; SoilPh: 6.0-6.8; WateringFrequency: Twice a week; LightRequirement: Full Sun; PruningInstructions: Prune after fruiting; GrowthHabit: Shrub; PestsAndDiseases: Anthracnose, Raspberry crown borer; YieldPerPlant: 1-2 kg; SunExposure: Full Sun; HardinessZone: 4-8; CommonName: Raspberry</s>
50; TypeOfPlant: Vegetable; ScientificName: Brassica oleracea; PlantedOn: 05/01/2022; SoilPh: 6.5-7.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Remove yellowing leaves; GrowthHabit: Biennial; PestsAndDiseases: Cabbage worm, Clubroot; YieldPerPlant: 3-5 kg; SunExposure: Full Sun; HardinessZone: 1-12; CommonName: Cabbage
51; TypeOfPlant: Flower; ScientificName: Dianthus caryophyllus; PlantedOn: 10/05/2021; SoilPh: 6.0-6.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Deadhead to promote blooming; GrowthHabit: Perennial; PestsAndDiseases: Aphids, Botrytis blight; YieldPerPlant: 20-30 flowers; SunExposure: Full Sun; HardinessZone: 5-9; CommonName: Carnation
52; TypeOfPlant: Fruit; ScientificName: Malus domestica; PlantedOn: 02/03/2022; SoilPh: 6.0-6.5; WateringFrequency: Twice a week; LightRequirement: Full Sun; PruningInstructions: Prune in late winter; GrowthHabit: Tree; PestsAndDiseases: Apple scab, Codling moth; YieldPerPlant: 15-50 kg; SunExposure: Full Sun; HardinessZone: 3-8; CommonName: Apple
53; TypeOfPlant: Vegetable; ScientificName: Solanum lycopersicum; PlantedOn: 04/15/2022; SoilPh: 6.0-6.5; WateringFrequency: Three times a week; LightRequirement: Full Sun; PruningInstructions: Pinch off suckers; GrowthHabit: Annual; PestsAndDiseases: Tomato hornworm, Early blight; YieldPerPlant: 5-15 kg; SunExposure: Full Sun; HardinessZone: 5-11; CommonName: Tomato
54; TypeOfPlant: Flower; ScientificName: Chrysanthemum morifolium; PlantedOn: 08/01/2021; SoilPh: 6.0-6.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Disbud for larger blooms; GrowthHabit: Perennial; PestsAndDiseases: Aphids, Powdery mildew; YieldPerPlant: 50-100 flowers; SunExposure: Full Sun; HardinessZone: 5-9; CommonName: Garden Mum
55; TypeOfPlant: Fruit; ScientificName: Vitis vinifera; PlantedOn: 03/20/2022; SoilPh: 6.0-6.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Prune in late winter; GrowthHabit: Vine; PestsAndDiseases: Grape phylloxera, Black rot; YieldPerPlant: 5-50 kg; SunExposure: Full Sun; HardinessZone: 5-10; CommonName: Grapes
56; TypeOfPlant: Vegetable; ScientificName: Lactuca sativa; PlantedOn: 06/01/2022; SoilPh: 6.0-6.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: None necessary; GrowthHabit: Annual; PestsAndDiseases: Aphids, Downy mildew; YieldPerPlant: 0.5-2 kg; SunExposure: Full Sun; HardinessZone: 4-11; CommonName: Lettuce
57; TypeOfPlant: Flower; ScientificName: Narcissus pseudonarcissus; PlantedOn: 09/15/2021; SoilPh: 6.0-6.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Deadhead after flowering; GrowthHabit: Perennial; PestsAndDiseases: Narcissus bulb fly, Basal rot; YieldPerPlant: 5-20 flowers; SunExposure: Full Sun; HardinessZone: 3-9; CommonName: Daffodil
58; TypeOfPlant: Fruit; ScientificName: Fragaria × ananassa; PlantedOn: 02/01/2022; SoilPh: 5.5-6.5; WateringFrequency: Twice a week; LightRequirement: Full Sun; PruningInstructions: Remove dead leaves; GrowthHabit: Perennial; PestsAndDiseases: Gray mold, Spider mites; YieldPerPlant: 0.5-1 kg; SunExposure: Full Sun; HardinessZone: 5-8; CommonName: Strawberry
59; TypeOfPlant: Vegetable; ScientificName: Beta vulgaris; PlantedOn: 05/15/2022; SoilPh: 6.5-7.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Remove dead leaves; GrowthHabit: Biennial; PestsAndDiseases: Leafminer, Cercospora leaf spot; YieldPerPlant: 1-2 kg; SunExposure: Full Sun; HardinessZone: 2-11; CommonName: Beet</s>
60;  TypeOfPlant: Flower; ScientificName: Paeonia lactiflora; PlantedOn: 10/01/2021; SoilPh: 6.0-6.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Deadhead faded flowers; GrowthHabit: Perennial; PestsAndDiseases: Botrytis blight, Powdery mildew; YieldPerPlant: 20-30 flowers; SunExposure: Full Sun; HardinessZone: 3-8; CommonName: Peony
61; TypeOfPlant: Fruit; ScientificName: Malus domestica; PlantedOn: 03/15/2022; SoilPh: 6.0-6.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Prune for shape and size control; GrowthHabit: Deciduous tree; PestsAndDiseases: Apple scab, Codling moth; YieldPerPlant: 20-30 kg; SunExposure: Full Sun; HardinessZone: 4-9; CommonName: Apple
62; TypeOfPlant: Vegetable; ScientificName: Solanum lycopersicum; PlantedOn: 06/01/2022; SoilPh: 6.0-6.8; WateringFrequency: Twice a week; LightRequirement: Full Sun; PruningInstructions: Pinch off suckers; GrowthHabit: Annual; PestsAndDiseases: Tomato hornworm, Early blight; YieldPerPlant: 5-10 kg; SunExposure: Full Sun; HardinessZone: 5-10; CommonName: Tomato
63; TypeOfPlant: Flower; ScientificName: Iris germanica; PlantedOn: 09/01/2021; SoilPh: 6.0-7.0; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Remove spent flowers; GrowthHabit: Perennial; PestsAndDiseases: Iris borer, Scald; YieldPerPlant: 10-15 flowers; SunExposure: Full Sun; HardinessZone: 4-9; CommonName: German Iris
64; TypeOfPlant: Fruit; ScientificName: Vitis vinifera; PlantedOn: 02/01/2022; SoilPh: 6.0-6.5; WateringFrequency: Once a week; LightRequirement: Full Sun; PruningInstructions: Prune for shape and size control; GrowthHabit: Deciduous vine; PestsAndDiseases: Black rot, Grape phylloxera; YieldPerPlant: 5-10 kg; SunExposure: Full Sun; HardinessZone: 6-10; CommonName: Grapes
