;Air\_Quality;Water\_Cleanliness;Species\_Count;Forest\_Area\_km2;Biodiversity\_Index;Avg\_Temperature_C;Avg\_Rainfall\_mm;Soil\_Health\_Index;Pollution\_Level;Population\_Density;Legislation\_Status;Public\_Engagement\_Score
0; Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 5000; Forest_Area_km2: 2500; Biodiversity_Index: 8.5; Avg_Temperature_C: 20; Avg_Rainfall_mm: 1200; Soil_Health_Index: 7.8; Pollution_Level: Low; Population_Density: 500; Legislation_Status: Active; Public_Engagement_Score: 80.
1;Air_Quality: Moderate; Water_Cleanliness: Good; Species_Count: 3000; Forest_Area_km2: 1500; Biodiversity_Index: 7.8; Avg_Temperature_C: 22; Avg_Rainfall_mm: 800; Soil_Health_Index: 7.2; Pollution_Level: Medium; Population_Density: 800; Legislation_Status: Pending; Public_Engagement_Score: 60.
2;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 2000; Forest_Area_km2: 1000; Biodiversity_Index: 6.5; Avg_Temperature_C: 25; Avg_Rainfall_mm: 500; Soil_Health_Index: 6.8; Pollution_Level: High; Population_Density: 1200; Legislation_Status: Draft; Public_Engagement_Score: 50.
3;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 6000; Forest_Area_km2: 3000; Biodiversity_Index: 9.0; Avg_Temperature_C: 15; Avg_Rainfall_mm: 2000; Soil_Health_Index: 8.2; Pollution_Level: Low; Population_Density: 300; Legislation_Status: Active; Public_Engagement_Score: 85.
4;Air_Quality: Moderate; Water_Cleanliness: Good; Species_Count: 4000; Forest_Area_km2: 2000; Biodiversity_Index: 8.3; Avg_Temperature_C: 18; Avg_Rainfall_mm: 1500; Soil_Health_Index: 7.5; Pollution_Level: Medium; Population_Density: 700; Legislation_Status: Pending; Public_Engagement_Score: 70.
5;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 3000; Forest_Area_km2: 1500; Biodiversity_Index: 7.0; Avg_Temperature_C: 28; Avg_Rainfall_mm: 300; Soil_Health_Index: 7.0; Pollution_Level: High; Population_Density: 1500; Legislation_Status: Draft; Public_Engagement_Score: 60.
6;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 7000; Forest_Area_km2: 3500; Biodiversity_Index: 8.8; Avg_Temperature_C: 12; Avg_Rainfall_mm: 2500; Soil_Health_Index: 8.5; Pollution_Level: Low; Population_Density: 200; Legislation_Status: Active; Public_Engagement_Score: 90.
7;Air_Quality: Moderate; Water_Cleanliness: Good; Species_Count: 5000; Forest_Area_km2: 2500; Biodiversity_Index: 8.2; Avg_Temperature_C: 20; Avg_Rainfall_mm: 1200; Soil_Health_Index: 7.8; Pollution_Level: Medium; Population_Density: 600; Legislation_Status: Pending; Public_Engagement_Score: 75.
8;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 4000; Forest_Area_km2: 2000; Biodiversity_Index: 7.2; Avg_Temperature_C: 30; Avg_Rainfall_mm: 100; Soil_Health_Index: 7.0; Pollution_Level: Very High; Population_Density: 1800; Legislation_Status: Draft; Public_Engagement_Score: 65.
9;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 8000; Forest_Area_km2: 4000; Biodiversity_Index: 9.5; Avg_Temperature_C: 10; Avg_Rainfall_mm: 3000; Soil_Health_Index: 9.0; Pollution_Level: Low; Population_Density: 150; Legislation_Status: Active; Public_Engagement_Score: 95.</s>
