;Player Name;Player ID;Match ID;Sport;Goals Scored;Assists;Rebounds;Steals;Turnovers;Fouls
0; Messi, 12345, 001, Soccer, 3, 2, 0, 0, 1, 2;;;;;;;;;
1;Ronaldo, 67890, 002, Soccer, 2, 3, 0, 1, 2, 1;;;;;;;;;
2;James, 23456, 003, Soccer, 1, 1, 0, 0, 1, 0;;;;;;;;;
3;Lebron, 78901, 004, Basketball, 25, 12, 8, 3, 5, 4;;;;;;;;;
4;KDurant, 34567, 005, Basketball, 30, 8, 5, 2, 4, 3;;;;;;;;;
5;Curry, 89012, 006, Basketball, 20, 15, 4, 1, 3, 2;;;;;;;;;
6;Bradley, 56789, 007, Basketball, 12, 5, 10, 1, 2, 1;;;;;;;;;
7;Jokic, 90123, 008, Basketball, 22, 10, 7, 2, 3, 3;;;;;;;;;
8;Serena, 45678, 009, Tennis, 0, 0, 0, 0, 0, 0;;;;;;;;;
9;Federer, 89012, 010, Tennis, 0, 0, 0, 0, 0, 0;</s>;;;;;;;;
10; LeBron, 32104, 011, Basketball, 30, 8, 0, 3, 4, 4;;;;;;;;;
11;Curry, 65431, 012, Basketball, 25, 11, 2, 1, 2, 2;;;;;;;;;
12;Williams, 78910, 013, Tennis, 0, 0, 0, 0, 0, 1;;;;;;;;;
13;Nadal, 23456, 014, Tennis, 0, 0, 0, 0, 0, 0;;;;;;;;;
14;Durant, 90126, 015, Basketball, 28, 5, 0, 2, 3, 1;;;;;;;;;
15;Thomas, 34567, 016, Basketball, 18, 7, 5, 1, 4, 3;;;;;;;;;
16;Murray, 89013, 017, Tennis, 0, 0, 0, 0, 0, 1;;;;;;;;;
17;Konta, 45679, 018, Tennis, 0, 0, 0, 0, 0, 0;;;;;;;;;
18;Irving, 01234, 019, Basketball, 24, 9, 0, 4, 2, 3;;;;;;;;;
19;Djokovic, 56789, 020, Tennis, 0, 0, 0, 0, 0, 0;</s>;;;;;;;;
20; Federer, 23456, 021, Tennis, 1, 0, 0, 0, 0, 1;;;;;;;;;
21;Nadal, 67890, 022, Tennis, 2, 0, 0, 0, 0, 2;;;;;;;;;
22;James, 11121, 023, Basketball, 30, 8, 1, 3, 2, 1;;;;;;;;;
23;Williams, 34567, 024, Tennis, 0, 0, 0, 0, 0, 0;;;;;;;;;
24;Curry, 78901, 025, Basketball, 22, 11, 2, 1, 1, 0;;;;;;;;;
25;Thomas, 23456, 026, Basketball, 28, 6, 0, 2, 3, 2;;;;;;;;;
26;P Murray, 67890, 027, Tennis, 0, 0, 0, 0, 0, 1;;;;;;;;;
27;Davis, 11121, 028, Basketball, 18, 5, 3, 1, 2, 3;;;;;;;;;
28;Del Potro, 34567, 029, Tennis, 1, 0, 0, 0, 0, 0;;;;;;;;;
29;Zverev, 78901, 030, Tennis, 0, 0, 0, 0, 0, 0;</s>;;;;;;;;
30; Federer, 23456, 031, Tennis, 0, 1, 2, 1, 0, 0;;;;;;;;;
31;Nadal, 67890, 032, Tennis, 1, 0, 0, 0, 0, 1;;;;;;;;;
32;Williams, 11234, 033, Tennis, 2, 1, 0, 0, 1, 0;;;;;;;;;
33;Anderson, 54321, 034, Tennis, 0, 0, 3, 0, 0, 2;;;;;;;;;
34;James, 55566, 035, Basketball, 30, 5, 0, 2, 3, 5;;;;;;;;;
35;Curry, 98765, 036, Basketball, 25, 8, 0, 1, 2, 1;;;;;;;;;
36;Durant, 88899, 037, Basketball, 27, 3, 1, 3, 4, 2;;;;;;;;;
37;Thompson, 77788, 038, Basketball, 22, 6, 2, 1, 3, 1;;;;;;;;;
38;Green, 33344, 039, Basketball, 12, 7, 5, 3, 2, 4;;;;;;;;;
39;Irving, 22233, 040, Basketball, 28, 4, 1, 2, 3, 5;</s>;;;;;;;;
40; Curry, 11122, 041, Basketball, 30, 8, 0, 1, 4, 3;;;;;;;;;
41;James, 44455, 042, Basketball, 18, 11, 4, 2, 5, 2;;;;;;;;;
42;Durant, 55566, 043, Basketball, 25, 5, 3, 4, 2, 1;;;;;;;;;
43;Paul, 66677, 044, Basketball, 14, 15, 6, 3, 1, 3;;;;;;;;;
44;Anthony, 88899, 045, Basketball, 29, 2, 1, 2, 6, 4;;;;;;;;;
45;Williams, 99900, 046, Basketball, 16, 9, 5, 4, 2, 3;;;;;;;;;
46;Jackson, 33300, 047, Basketball, 24, 7, 2, 5, 3, 1;;;;;;;;;
47;Jordan, 11133, 048, Basketball, 35, 3, 4, 1, 4, 5;;;;;;;;;
48;Smith, 77722, 049, Basketball, 19, 8, 3, 6, 2, 2;;;;;;;;;
49;Bryant, 55544, 050, Basketball, 27, 6, 0, 3, 5, 4;</s>;;;;;;;;
